년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,243,-0.4,-4.6,3.9
2000,2,243,-0.7,-5.1,4.3
2000,3,243,5.3,-0.9,12.4
2000,4,243,10.6,4.4,17.4
2000,5,243,15.7,10.4,22.2
2000,6,243,20.8,16.7,26.3
2000,7,243,25.4,21.3,30.6
2000,8,243,25.6,21.2,31.0
2000,9,243,19.3,14.9,24.5
2000,10,243,14.9,9.7,20.8
2000,11,243,8.3,3.0,14.1
2000,12,243,3.3,-2.2,9.6
2001,1,243,0.3,-4.5,5.3
2001,2,243,2.8,-1.9,8.3
2001,3,243,5.1,-0.3,11.4
2001,4,243,11.0,4.5,18.6
2001,5,243,16.8,11.5,23.1
2001,6,243,20.7,17.2,25.2
2001,7,243,25.3,21.9,30.2
2001,8,243,25.1,21.1,30.3
2001,9,243,20.3,14.6,27.1
2001,10,243,14.8,9.9,20.6
2001,11,243,7.3,1.9,13.4
2001,12,243,1.4,-2.4,5.8
2002,1,243,2.6,-1.3,7.2
2002,2,243,1.9,-3.2,8.1
2002,3,243,7.2,1.5,14.0
2002,4,243,13.2,7.7,19.5
2002,5,243,16.5,12.2,22.5
2002,6,243,21.4,16.7,27.4
2002,7,243,25.1,21.8,29.6
2002,8,243,24.5,21.8,28.4
2002,9,243,20.7,16.3,26.3
2002,10,243,13.3,7.9,19.5
2002,11,243,5.5,0.5,10.9
2002,12,243,2.6,-1.4,7.0
2003,1,243,-1.7,-6.3,3.0
2003,2,243,2.3,-1.8,7.2
2003,3,243,5.5,0.9,11.0
2003,4,243,11.6,6.8,17.3
2003,5,243,17.6,12.7,23.7
2003,6,243,21.0,17.0,25.7
2003,7,243,23.4,20.8,27.2
2003,8,243,24.7,21.6,29.3
2003,9,243,21.9,17.6,27.2
2003,10,243,14.4,8.6,20.9
2003,11,243,10.4,5.4,15.9
2003,12,243,2.3,-1.6,6.7
2004,1,243,-1.3,-5.6,3.7
