년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,244,-2.3,-7.2,3.0
2000,2,244,-2.8,-8.7,3.3
2000,3,244,3.4,-4.0,11.6
2000,4,244,9.1,0.9,17.7
2000,5,244,15.1,7.9,23.0
2000,6,244,20.2,15.1,26.4
2000,7,244,24.2,20.3,29.5
2000,8,244,24.1,20.2,29.5
2000,9,244,17.8,13.4,23.7
2000,10,244,11.9,5.9,19.6
2000,11,244,4.7,-1.4,12.3
2000,12,244,-0.9,-7.0,6.9
2001,1,244,-3.4,-8.6,2.2
2001,2,244,-0.7,-6.1,6.0
2001,3,244,3.4,-3.0,10.8
2001,4,244,10.5,1.7,19.6
2001,5,244,16.4,9.9,23.8
2001,6,244,20.7,16.0,26.3
2001,7,244,24.9,21.0,30.6
2001,8,244,24.2,19.4,30.9
2001,9,244,19.3,12.6,27.3
2001,10,244,13.7,8.3,20.9
2001,11,244,4.6,-1.9,13.0
2001,12,244,-0.9,-6.0,5.3
2002,1,244,-0.1,-4.8,5.7
2002,2,244,0.2,-6.2,8.0
2002,3,244,5.8,-1.7,14.1
2002,4,244,12.2,4.8,19.8
2002,5,244,16.2,10.4,22.8
2002,6,244,20.4,13.9,27.5
2002,7,244,23.8,20.3,28.7
2002,8,244,22.8,20.2,27.0
2002,9,244,18.5,13.4,25.4
2002,10,244,10.7,4.5,18.4
2002,11,244,2.8,-3.2,9.6
2002,12,244,0.5,-4.8,6.8
2003,1,244,-4.4,-10.3,1.9
2003,2,244,0.5,-5.1,6.9
2003,3,244,4.7,-1.4,11.5
2003,4,244,11.8,5.4,18.7
2003,5,244,17.3,11.0,24.2
2003,6,244,20.2,15.2,25.8
2003,7,244,22.4,19.2,26.8
2003,8,244,23.4,19.8,28.3
2003,9,244,20.7,16.1,27.0
2003,10,244,11.8,5.0,20.4
2003,11,244,8.6,2.8,15.8
2003,12,244,0.6,-4.6,6.6
2004,1,244,-2.8,-8.6,4.7
2004,2,244,1.1,-5.8,8.7
2004,3,244,5.0,-2.2,12.9
2004,4,244,10.9,2.5,19.8
2004,5,244,16.2,10.4,22.4
2004,6,244,21.0,15.6,27.2
2004,7,244,24.7,21.1,29.6
2004,8,244,24.4,20.1,30.5
2004,9,244,19.7,15.1,26.0
2004,10,244,12.2,4.7,20.9
2004,11,244,7.0,0.9,15.0
2004,12,244,1.6,-4.4,8.5
2005,1,244,-2.7,-8.1,2.7
2005,2,244,-1.8,-6.6,3.7
2005,3,244,2.7,-3.7,9.9
2005,4,244,11.8,4.0,20.2
2005,5,244,16.0,8.3,24.0
2005,6,244,21.6,16.6,27.9
2005,7,244,24.8,21.1,30.0
2005,8,244,23.7,20.0,29.0
2005,9,244,21.1,16.9,26.8
2005,10,244,12.2,6.2,20.4
2005,11,244,5.8,-0.9,14.1
2005,12,244,-4.6,-11.0,1.7
2006,1,244,-0.9,-5.9,5.4
2006,2,244,-0.9,-6.6,5.3
2006,3,244,4.0,-3.0,11.7
2006,4,244,9.5,2.9,16.4
2006,5,244,16.4,10.4,23.2
2006,6,244,20.6,15.1,27.3
2006,7,244,22.8,20.0,27.3
2006,8,244,25.3,21.0,32.0
2006,9,244,18.0,12.2,25.6
2006,10,244,14.8,7.6,24.6
2006,11,244,7.1,0.7,14.5
2006,12,244,0.0,-5.3,7.2
2007,1,244,-1.2,-6.7,5.9
2007,2,244,2.5,-3.9,10.6
2007,3,244,5.5,-0.8,12.7
2007,4,244,9.3,1.6,17.8
2007,5,244,16.1,9.0,24.0
2007,6,244,21.1,15.6,27.5
2007,7,244,23.7,20.0,29.0
2007,8,244,25.6,22.2,31.0
2007,9,244,20.8,17.5,25.9
2007,10,244,12.9,6.9,20.9
2007,11,244,4.1,-2.6,12.7
2007,12,244,0.9,-4.2,7.2
2008,1,244,-2.0,-6.4,3.5
2008,2,244,-2.9,-9.5,4.2
2008,3,244,5.3,-2.1,13.3
2008,4,244,11.6,3.7,19.7
2008,5,244,16.1,8.5,23.9
2008,6,244,20.3,15.3,26.0
2008,7,244,25.4,21.8,30.7
2008,8,244,23.7,19.1,29.7
2008,9,244,21.1,15.5,28.3
2008,10,244,14.3,7.6,23.1
2008,11,244,6.1,-0.2,14.1
2008,12,244,0.3,-5.7,7.1
2009,1,244,-3.1,-9.4,4.2
2009,2,244,2.8,-3.3,9.5
2009,3,244,5.7,-1.2,12.9
2009,4,244,11.0,2.9,19.5
2009,5,244,17.3,9.3,25.6
2009,6,244,21.2,15.0,28.1
2009,7,244,23.5,20.0,28.3
2009,8,244,24.3,19.6,30.2
2009,9,244,20.2,14.5,27.5
2009,10,244,13.5,6.4,22.7
