년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,248,-1.9,-6.7,3.5
2000,2,248,-2.5,-8.5,3.8
2000,3,248,3.5,-3.6,11.4
2000,4,248,9.7,2.1,17.2
2000,5,248,15.3,8.5,22.2
2000,6,248,20.1,15.2,25.7
2000,7,248,23.5,19.7,28.6
2000,8,248,23.1,19.4,28.1
2000,9,248,17.2,12.9,23.0
2000,10,248,11.3,5.4,19.1
2000,11,248,3.9,-1.4,11.4
2000,12,248,-1.2,-7.0,5.9
2001,1,248,-4.9,-10.5,0.9
2001,2,248,-2.3,-8.0,4.4
2001,3,248,2.7,-3.5,9.3
2001,4,248,10.7,2.2,19.3
2001,5,248,16.5,10.3,23.1
2001,6,248,20.6,16.0,25.8
2001,7,248,24.2,20.0,29.2
2001,8,248,22.9,18.1,29.2
2001,9,248,18.2,11.8,25.7
2001,10,248,12.9,7.8,20.0
2001,11,248,4.0,-2.2,12.1
2001,12,248,-1.7,-6.6,3.9
2002,1,248,-0.3,-4.9,4.8
2002,2,248,-0.2,-6.1,7.3
2002,3,248,5.6,-1.5,13.2
2002,4,248,11.9,4.9,18.9
2002,5,248,15.4,9.6,21.3
2002,6,248,19.5,13.4,26.0
2002,7,248,23.1,19.2,27.6
2002,8,248,22.3,19.4,26.3
2002,9,248,17.6,12.6,24.6
2002,10,248,10.1,4.1,17.5
2002,11,248,1.9,-3.7,8.2
2002,12,248,-0.1,-5.0,5.8
2003,1,248,-4.8,-10.7,1.5
2003,2,248,-0.8,-6.5,6.0
2003,3,248,4.1,-1.6,10.4
2003,4,248,11.2,4.9,17.8
2003,5,248,16.5,10.5,22.9
2003,6,248,19.3,14.5,24.3
2003,7,248,21.1,17.7,25.2
2003,8,248,22.1,18.5,26.7
2003,9,248,19.2,14.5,25.0
2003,10,248,10.4,3.9,18.6
2003,11,248,7.6,2.2,14.0
2003,12,248,-0.1,-5.1,5.4
2004,1,248,-3.5,-8.8,2.9
2004,2,248,0.3,-6.3,7.0
2004,3,248,4.3,-2.6,11.5
2004,4,248,10.6,2.4,18.9
2004,5,248,15.8,10.2,21.4
2004,6,248,20.2,14.9,26.4
2004,7,248,23.8,20.2,28.4
2004,8,248,23.2,19.0,29.1
2004,9,248,18.4,13.9,24.6
2004,10,248,11.0,3.8,19.8
2004,11,248,6.2,0.0,14.1
2004,12,248,0.7,-5.0,7.6
2005,1,248,-3.6,-9.0,1.9
2005,2,248,-2.5,-7.2,2.9
2005,3,248,2.4,-3.6,8.9
2005,4,248,11.5,4.0,18.8
2005,5,248,15.6,8.3,22.7
2005,6,248,20.8,15.7,26.9
2005,7,248,23.3,19.2,28.2
2005,8,248,22.8,19.0,27.6
2005,9,248,19.9,15.6,25.4
2005,10,248,11.1,5.1,18.8
2005,11,248,5.3,-1.2,12.9
2005,12,248,-4.7,-10.8,0.8
2006,1,248,-1.3,-6.2,4.6
2006,2,248,-1.2,-6.8,4.6
2006,3,248,3.8,-3.1,10.7
2006,4,248,9.5,3.2,15.8
2006,5,248,16.0,10.2,22.1
2006,6,248,20.1,14.3,26.1
2006,7,248,22.0,19.3,25.6
2006,8,248,24.1,20.3,29.9
2006,9,248,16.5,11.2,23.4
2006,10,248,13.6,6.5,22.9
2006,11,248,6.5,0.4,13.0
2006,12,248,-0.5,-5.5,6.1
2007,1,248,-1.8,-7.1,4.7
2007,2,248,2.0,-4.1,9.7
2007,3,248,5.3,-0.8,11.9
2007,4,248,9.4,2.3,16.5
2007,5,248,16.1,9.5,22.4
2007,6,248,20.3,15.5,25.5
2007,7,248,22.3,18.6,27.0
2007,8,248,24.2,20.7,28.7
2007,9,248,19.4,15.9,24.0
2007,10,248,12.0,6.5,19.6
2007,11,248,4.1,-2.4,12.4
2007,12,248,0.5,-3.8,5.9
2008,1,248,-2.3,-6.7,2.9
2008,2,248,-3.2,-9.6,3.5
2008,3,248,4.9,-2.1,12.4
2008,4,248,11.2,3.8,18.4
2008,5,248,15.8,8.5,23.0
2008,6,248,19.4,14.7,24.7
2008,7,248,24.8,21.1,29.6
2008,8,248,22.6,18.1,28.6
2008,9,248,19.3,13.4,26.8
2008,10,248,13.0,6.4,21.5
2008,11,248,5.1,-1.0,12.4
2008,12,248,0.1,-5.9,6.1
2009,1,248,-3.5,-9.6,3.3
2009,2,248,2.1,-3.8,9.0
2009,3,248,5.3,-1.0,12.1
2009,4,248,10.6,2.9,18.7
2009,5,248,16.4,8.7,24.4
2009,6,248,20.3,14.3,26.5
2009,7,248,22.4,18.6,27.0
2009,8,248,22.8,18.1,28.5
