년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,146,0.8,-3.2,5.1
2000,2,146,0.2,-4.4,5.3
2000,3,146,6.9,1.1,13.5
2000,4,146,12.8,6.5,19.6
2000,5,146,18.2,12.6,24.7
2000,6,146,22.9,18.6,28.4
2000,7,146,26.9,23.3,31.9
2000,8,146,26.9,23.2,31.6
2000,9,146,20.8,17.1,25.7
2000,10,146,15.6,10.5,21.9
2000,11,146,8.0,3.2,13.8
2000,12,146,2.7,-2.2,8.4
2001,1,146,-0.4,-4.4,3.8
2001,2,146,2.0,-2.6,7.4
2001,3,146,6.1,0.7,12.3
2001,4,146,13.7,6.6,21.4
2001,5,146,19.5,14.1,26.0
2001,6,146,23.0,19.0,27.9
2001,7,146,27.0,23.5,31.8
2001,8,146,26.7,22.6,31.8
2001,9,146,22.6,17.2,28.9
2001,10,146,16.8,12.3,22.5
2001,11,146,7.9,3.0,13.7
2001,12,146,1.9,-2.1,6.3
2002,1,146,3.1,-0.9,7.8
2002,2,146,2.8,-2.4,9.0
2002,3,146,8.2,2.1,15.0
2002,4,146,14.2,7.8,20.9
2002,5,146,17.6,12.4,23.6
2002,6,146,22.5,17.1,28.3
2002,7,146,25.9,22.5,30.3
2002,8,146,25.1,22.5,28.7
2002,9,146,21.5,17.2,27.1
2002,10,146,14.0,8.9,20.1
2002,11,146,5.9,1.0,11.3
2002,12,146,3.1,-1.0,7.7
2003,1,146,-1.4,-5.9,3.2
2003,2,146,3.1,-1.2,8.0
2003,3,146,6.5,1.6,12.0
2003,4,146,13.4,8.4,19.3
2003,5,146,19.2,13.5,25.4
2003,6,146,21.9,17.4,26.9
2003,7,146,23.7,20.9,27.6
2003,8,146,24.7,21.6,28.8
2003,9,146,22.1,18.0,27.4
2003,10,146,14.5,8.9,21.0
2003,11,146,10.6,5.9,15.8
2003,12,146,2.5,-1.6,6.9
2004,1,146,-0.6,-5.0,4.8
2004,2,146,3.6,-1.8,9.8
2004,3,146,7.0,1.1,13.7
2004,4,146,13.5,6.5,20.7
2004,5,146,18.5,13.3,24.0
2004,6,146,23.1,18.3,28.9
2004,7,146,26.9,23.3,31.4
2004,8,146,26.6,22.8,31.8
2004,9,146,22.3,17.9,27.7
2004,10,146,15.2,9.0,22.3
2004,11,146,9.9,4.9,15.8
2004,12,146,4.1,-0.7,9.4
2005,1,146,-0.5,-4.6,4.0
2005,2,146,0.2,-3.9,4.8
2005,3,146,4.8,-0.8,11.1
2005,4,146,14.6,8.4,21.6
2005,5,146,18.0,11.6,25.0
2005,6,146,23.5,19.0,29.1
2005,7,146,26.2,22.8,30.5
2005,8,146,26.2,22.7,30.7
2005,9,146,23.3,19.5,28.1
2005,10,146,15.1,10.0,21.1
2005,11,146,9.4,4.0,15.5
2005,12,146,-1.6,-6.0,2.9
2006,1,146,1.5,-2.5,6.1
2006,2,146,1.6,-3.2,6.6
2006,3,146,6.6,0.6,12.9
2006,4,146,11.9,6.8,17.7
2006,5,146,18.9,13.5,25.0
2006,6,146,23.3,18.3,29.2
2006,7,146,25.0,22.3,29.0
2006,8,146,27.7,23.9,33.3
2006,9,146,20.9,15.9,26.9
2006,10,146,18.1,12.5,25.2
2006,11,146,10.3,5.0,15.8
2006,12,146,3.1,-1.1,8.3
2007,1,146,1.6,-2.4,6.8
2007,2,146,4.8,-0.2,10.8
2007,3,146,7.6,2.4,13.6
2007,4,146,11.8,5.8,18.3
2007,5,146,18.6,13.0,24.7
2007,6,146,22.8,18.3,28.2
2007,7,146,24.9,21.8,29.2
2007,8,146,27.2,24.0,31.7
2007,9,146,22.2,19.2,26.0
2007,10,146,15.3,10.5,21.2
2007,11,146,7.4,2.4,13.3
2007,12,146,3.4,-0.4,8.0
2008,1,146,0.2,-3.4,4.2
2008,2,146,-0.2,-5.2,5.4
2008,3,146,7.7,2.2,14.1
2008,4,146,14.0,7.7,21.0
2008,5,146,18.5,12.4,25.2
2008,6,146,22.3,17.8,27.5
2008,7,146,27.2,23.7,31.8
2008,8,146,25.8,21.6,30.8
2008,9,146,22.7,18.2,28.6
2008,10,146,16.4,11.1,22.8
2008,11,146,8.5,3.8,14.0
2008,12,146,3.1,-1.6,7.9
2009,1,146,-0.4,-5.1,5.0
2009,2,146,4.2,-0.5,9.5
2009,3,146,7.0,1.5,13.4
2009,4,146,12.6,6.3,20.2
2009,5,146,18.9,12.4,26.2
2009,6,146,22.9,17.6,29.1
2009,7,146,24.8,21.3,29.1
2009,8,146,25.7,21.7,30.8
2009,9,146,21.8,16.9,27.8
2009,10,146,16.3,10.5,23.1
2009,11,146,8.6,4.3,13.5
2009,12,146,1.3,-2.9,5.7
2010,1,146,-0.8,-5.3,4.1
2010,2,146,3.2,-0.8,7.7
2010,3,146,6.3,1.6,10.9
2010,4,146,10.3,4.8,16.2
2010,5,146,18.0,12.2,24.4
2010,6,146,23.5,18.4,29.7
2010,7,146,26.5,23.2,31.2
2010,8,146,27.7,24.4,32.5
2010,9,146,23.2,19.1,28.5
2010,10,146,15.0,9.9,21.1
2010,11,146,7.9,2.3,14.1
2010,12,146,1.6,-3.2,6.7
2011,1,146,-4.9,-9.8,0.2
2011,2,146,2.1,-3.1,8.1
2011,3,146,4.5,-0.9,10.8
2011,4,146,11.7,5.4,18.5
2011,5,146,18.8,13.2,24.6
2011,6,146,23.4,18.7,29.5
2011,7,146,26.4,23.3,30.5
2011,8,146,26.0,22.7,30.6
2011,9,146,21.9,17.6,27.7
2011,10,146,14.2,8.8,20.8
2011,11,146,12.2,7.9,17.4
2011,12,146,1.1,-2.9,5.5
2012,1,146,-0.9,-5.0,3.8
2012,2,146,-0.2,-4.9,5.1
2012,3,146,5.9,1.2,10.9
2012,4,146,13.5,7.1,20.2
2012,5,146,19.7,13.9,26.5
2012,6,146,23.7,19.0,29.7
2012,7,146,26.7,22.8,31.4
2012,8,146,27.7,23.8,32.6
2012,9,146,21.2,17.0,26.3
2012,10,146,15.2,9.4,22.1
2012,11,146,7.3,2.9,12.7
2012,12,146,-0.9,-5.2,3.6
2013,1,146,-1.3,-6.0,3.7
