년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,245,-0.1,-4.3,4.4
2000,2,245,-0.5,-5.1,4.5
2000,3,245,5.9,-0.5,13.2
2000,4,245,11.6,4.9,18.9
2000,5,245,17.1,11.2,23.9
2000,6,245,21.9,17.2,27.6
2000,7,245,26.0,22.0,31.1
2000,8,245,25.8,21.6,31.2
2000,9,245,19.7,15.7,24.8
2000,10,245,14.7,9.4,20.9
2000,11,245,7.1,2.0,12.8
2000,12,245,2.0,-3.4,7.9
2001,1,245,-1.2,-5.6,3.5
2001,2,245,1.3,-3.3,6.7
2001,3,245,5.5,0.0,11.8
2001,4,245,12.8,5.6,20.7
2001,5,245,18.7,13.0,25.3
2001,6,245,22.1,17.8,27.1
2001,7,245,26.3,22.4,31.4
2001,8,245,25.8,21.5,31.4
2001,9,245,21.4,15.9,28.2
2001,10,245,15.9,11.3,21.7
2001,11,245,7.4,2.5,13.3
2001,12,245,1.4,-2.2,5.9
2002,1,245,2.6,-1.4,7.1
2002,2,245,2.4,-2.7,8.5
2002,3,245,7.8,1.9,14.7
2002,4,245,13.9,8.0,20.6
2002,5,245,17.2,12.1,23.3
2002,6,245,21.8,16.2,28.3
2002,7,245,25.3,21.5,30.2
2002,8,245,24.6,21.6,28.6
2002,9,245,20.8,16.2,26.7
2002,10,245,13.6,8.2,20.2
2002,11,245,5.7,0.8,11.1
2002,12,245,2.8,-1.3,7.5
2003,1,245,-1.2,-5.7,3.2
2003,2,245,2.9,-1.4,7.7
2003,3,245,6.1,1.2,11.9
2003,4,245,12.7,7.4,18.7
2003,5,245,18.2,12.6,24.7
2003,6,245,21.1,16.3,26.3
2003,7,245,23.2,20.0,27.3
2003,8,245,23.9,20.5,28.5
2003,9,245,21.3,17.0,26.8
2003,10,245,14.1,8.7,20.6
2003,11,245,9.9,5.3,15.4
2003,12,245,2.2,-1.7,6.9
2004,1,245,-0.7,-5.0,4.8
2004,2,245,3.5,-1.7,9.8
2004,3,245,6.6,0.7,13.3
2004,4,245,12.9,6.3,19.9
2004,5,245,17.8,12.8,23.5
