년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,108,-2.1,-5.7,1.7
2000,2,108,-1.7,-5.8,2.6
2000,3,108,6.3,1.7,11.4
2000,4,108,11.9,7.3,16.9
2000,5,108,17.5,12.9,22.7
2000,6,108,23.7,19.1,29.2
2000,7,108,26.8,23.1,31.0
2000,8,108,26.2,22.9,30.0
2000,9,108,20.7,17.1,24.8
2000,10,108,14.9,10.7,19.2
2000,11,108,7.0,2.7,11.1
2000,12,108,0.9,-2.9,4.9
2001,1,108,-4.1,-7.8,-0.8
2001,2,108,-0.3,-3.7,3.7
2001,3,108,5.0,0.9,9.6
2001,4,108,13.6,8.7,19.2
2001,5,108,19.1,14.8,24.7
2001,6,108,22.5,19.2,27.1
2001,7,108,25.9,22.9,29.9
2001,8,108,26.5,22.8,30.8
2001,9,108,22.5,17.9,27.5
2001,10,108,16.5,12.4,21.0
2001,11,108,7.0,2.9,11.5
2001,12,108,-0.6,-4.0,3.4
2002,1,108,0.3,-2.9,3.9
2002,2,108,2.9,-0.8,7.1
2002,3,108,7.6,3.6,12.4
2002,4,108,13.6,8.8,18.6
2002,5,108,18.2,13.3,23.5
2002,6,108,22.2,17.9,27.3
2002,7,108,25.2,22.2,28.8
2002,8,108,24.2,21.4,27.5
2002,9,108,21.6,17.8,26.1
2002,10,108,12.8,8.8,17.7
2002,11,108,4.0,0.3,8.0
2002,12,108,1.7,-1.6,5.3
2003,1,108,-2.5,-5.8,1.1
2003,2,108,2.7,-0.7,6.6
2003,3,108,6.5,2.9,10.6
2003,4,108,13.2,9.0,17.9
2003,5,108,19.6,14.4,25.0
2003,6,108,21.5,18.0,25.8
2003,7,108,23.8,20.7,27.7
2003,8,108,24.1,21.3,27.6
2003,9,108,20.9,17.5,24.9
2003,10,108,13.9,9.6,19.0
2003,11,108,9.5,5.9,13.5
2003,12,108,0.7,-2.8,4.4
2004,1,108,-1.5,-4.9,2.1
2004,2,108,2.3,-1.6,6.9
2004,3,108,6.3,2.1,11.1
2004,4,108,13.1,8.5,18.3
2004,5,108,17.6,13.7,22.2
2004,6,108,23.2,19.3,27.7
2004,7,108,24.8,22.3,27.7
2004,8,108,26.1,22.8,30.2
2004,9,108,21.7,17.8,26.3
2004,10,108,15.2,10.3,20.8
2004,11,108,9.1,5.3,13.4
2004,12,108,1.9,-1.4,5.8
2005,1,108,-2.5,-6.2,1.5
2005,2,108,-1.9,-5.5,2.2
2005,3,108,4.1,0.2,8.8
2005,4,108,13.2,8.9,18.1
2005,5,108,17.7,13.0,22.9
2005,6,108,22.7,19.1,27.3
2005,7,108,25.3,22.7,28.8
2005,8,108,25.1,22.4,28.7
2005,9,108,21.8,18.6,25.7
2005,10,108,14.7,10.7,19.4
2005,11,108,8.6,4.6,12.9
2005,12,108,-3.9,-7.4,-0.1
2006,1,108,-0.2,-3.3,3.4
2006,2,108,0.1,-4.0,4.2
2006,3,108,5.2,0.9,9.9
2006,4,108,11.6,7.7,16.2
2006,5,108,18.4,14.0,23.4
2006,6,108,21.8,18.1,26.3
2006,7,108,23.1,20.9,26.0
2006,8,108,27.0,23.9,31.1
2006,9,108,21.1,16.9,25.7
2006,10,108,17.9,13.9,22.6
2006,11,108,8.4,4.5,12.4
2006,12,108,1.4,-2.0,5.4
2007,1,108,0.4,-2.8,4.1
2007,2,108,4.0,0.1,8.7
2007,3,108,6.1,2.3,10.3
2007,4,108,11.4,7.5,16.1
2007,5,108,18.1,13.6,23.4
2007,6,108,23.2,19.2,27.7
2007,7,108,24.2,21.3,27.8
2007,8,108,26.5,23.8,29.9
2007,9,108,21.5,18.6,25.1
2007,10,108,15.1,11.3,19.6
2007,11,108,6.7,2.8,11.4
2007,12,108,1.8,-1.4,5.4
2008,1,108,-1.7,-5.0,1.9
2008,2,108,-1.2,-4.9,3.2
2008,3,108,7.3,3.7,11.9
2008,4,108,14.1,9.3,19.5
2008,5,108,17.7,13.1,22.7
2008,6,108,21.5,17.6,26.1
2008,7,108,25.1,22.6,28.4
2008,8,108,25.3,21.8,29.5
2008,9,108,22.0,18.0,26.9
2008,10,108,16.1,12.1,21.0
2008,11,108,7.6,3.8,11.7
2008,12,108,1.1,-2.7,5.0
2009,1,108,-2.0,-5.5,2.3
2009,2,108,2.9,-0.6,6.8
2009,3,108,6.0,1.8,10.6
2009,4,108,12.7,8.1,18.0
2009,5,108,19.1,14.6,24.3
2009,6,108,22.4,18.8,26.7
2009,7,108,24.3,21.0,28.2
2009,8,108,25.7,22.4,29.5
2009,9,108,21.8,17.7,26.3
2009,10,108,16.0,11.7,20.9
2009,11,108,6.9,3.7,10.4
2009,12,108,-1.0,-4.2,2.5
2010,1,108,-4.5,-8.1,-0.7
2010,2,108,1.4,-1.7,4.9
2010,3,108,4.3,0.5,8.1
2010,4,108,9.5,5.6,14.0
2010,5,108,17.2,13.0,22.0
2010,6,108,23.4,19.3,28.2
2010,7,108,25.8,23.1,29.3
2010,8,108,26.5,23.8,30.0
2010,9,108,21.8,18.5,26.0
2010,10,108,14.5,10.4,19.3
2010,11,108,6.5,2.5,11.3
2010,12,108,-1.3,-5.1,3.1
2011,1,108,-7.2,-10.5,-3.4
2011,2,108,1.2,-2.5,5.9
2011,3,108,3.6,-0.1,8.3
