년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,152,3.1,-1.0,7.9
2000,2,152,2.7,-2.0,8.1
2000,3,152,8.7,3.3,14.3
2000,4,152,13.6,8.5,19.1
2000,5,152,18.1,13.2,23.8
2000,6,152,21.4,17.9,26.1
2000,7,152,26.0,22.3,30.4
2000,8,152,26.0,23.0,29.7
2000,9,152,20.6,17.5,24.3
2000,10,152,16.5,12.6,21.1
2000,11,152,10.0,5.7,15.2
2000,12,152,4.9,0.0,10.7
2001,1,152,1.6,-1.9,5.6
2001,2,152,4.3,0.0,9.2
2001,3,152,8.5,3.5,13.9
2001,4,152,14.4,8.4,20.3
2001,5,152,19.0,14.6,24.2
2001,6,152,22.0,18.4,26.4
2001,7,152,26.6,22.9,31.2
2001,8,152,26.2,23.1,30.3
2001,9,152,21.5,18.3,25.5
2001,10,152,17.4,13.4,22.0
2001,11,152,9.9,5.0,15.8
2001,12,152,4.1,0.4,8.7
2002,1,152,4.5,0.6,9.0
2002,2,152,5.8,0.7,11.8
2002,3,152,10.5,5.5,15.9
2002,4,152,14.8,9.8,19.9
2002,5,152,17.4,13.3,22.0
2002,6,152,21.8,17.2,26.8
2002,7,152,24.7,21.6,28.6
2002,8,152,24.5,21.9,28.0
2002,9,152,20.7,17.1,25.2
2002,10,152,15.2,10.4,20.8
2002,11,152,7.9,2.9,13.4
2002,12,152,5.3,1.6,9.8
2003,1,152,1.5,-2.9,6.6
2003,2,152,5.0,0.9,10.0
2003,3,152,8.0,3.4,12.8
2003,4,152,14.1,10.1,18.8
2003,5,152,17.1,12.6,22.1
2003,6,152,21.9,18.1,26.5
2003,7,152,22.3,20.0,25.6
2003,8,152,25.0,21.9,29.3
2003,9,152,22.7,19.2,27.2
2003,10,152,16.1,11.1,22.2
2003,11,152,12.7,8.7,17.2
2003,12,152,4.9,0.5,10.3
2004,1,152,2.4,-1.8,7.6
2004,2,152,6.1,0.5,12.0
2004,3,152,8.9,3.5,14.7
2004,4,152,15.1,9.2,22.1
2004,5,152,19.1,14.6,23.9
2004,6,152,22.0,17.4,27.1
2004,7,152,26.8,23.2,31.4
2004,8,152,25.5,22.3,29.6
2004,9,152,21.9,18.7,26.0
2004,10,152,16.3,11.8,21.3
2004,11,152,12.0,6.8,18.1
2004,12,152,6.6,2.1,12.0
2005,1,152,2.0,-2.0,6.9
2005,2,152,2.6,-1.5,7.1
2005,3,152,7.4,2.4,13.0
2005,4,152,15.1,9.7,21.4
2005,5,152,17.9,12.7,23.9
2005,6,152,23.3,19.2,28.1
2005,7,152,25.5,22.3,29.6
2005,8,152,26.3,22.9,30.6
2005,9,152,22.5,19.7,26.4
2005,10,152,16.5,12.3,21.6
2005,11,152,10.7,5.2,17.2
2005,12,152,1.2,-3.3,6.4
2006,1,152,3.6,-0.4,8.4
2006,2,152,4.1,-0.6,9.2
2006,3,152,8.4,3.1,14.1
2006,4,152,13.0,8.3,18.1
2006,5,152,17.5,13.5,22.6
2006,6,152,21.8,17.6,27.0
2006,7,152,23.7,21.1,27.2
2006,8,152,27.3,23.5,32.0
2006,9,152,20.5,17.0,24.6
2006,10,152,18.6,14.3,24.5
2006,11,152,11.4,7.0,16.4
2006,12,152,5.1,0.8,10.6
2007,1,152,4.8,0.8,9.9
2007,2,152,7.1,2.2,12.6
2007,3,152,8.8,4.2,14.2
2007,4,152,13.5,8.2,19.3
2007,5,152,18.8,13.8,24.8
2007,6,152,21.7,17.9,26.1
2007,7,152,24.0,20.9,27.7
2007,8,152,27.5,24.0,31.6
2007,9,152,22.1,19.3,25.5
2007,10,152,16.7,12.6,21.8
2007,11,152,9.6,4.5,15.6
2007,12,152,5.4,1.6,10.0
2008,1,152,2.5,-1.0,7.1
2008,2,152,2.3,-2.6,8.0
2008,3,152,8.5,3.8,14.0
2008,4,152,13.8,8.8,19.3
2008,5,152,17.7,12.9,23.3
2008,6,152,19.8,16.5,23.6
2008,7,152,26.9,23.4,31.5
2008,8,152,24.8,21.5,29.1
2008,9,152,21.8,18.2,26.3
2008,10,152,17.4,12.6,23.2
2008,11,152,10.0,5.9,15.5
2008,12,152,4.5,-0.4,10.5
2009,1,152,1.5,-3.0,7.1
2009,2,152,6.7,2.4,11.7
2009,3,152,8.8,4.0,14.0
2009,4,152,13.9,8.4,20.3
2009,5,152,18.8,13.9,25.0
2009,6,152,22.2,18.1,27.3
2009,7,152,23.3,20.2,27.2
2009,8,152,24.2,21.1,28.1
2009,9,152,21.4,17.9,25.9
2009,10,152,17.0,12.1,23.2
2009,11,152,9.6,5.4,14.9
2009,12,152,3.9,-0.3,9.1
2010,1,152,1.5,-3.2,7.4
2010,2,152,4.4,0.4,9.2
2010,3,152,7.0,3.0,11.0
2010,4,152,10.8,5.9,16.1
2010,5,152,17.6,12.9,22.9
2010,6,152,22.2,17.7,27.6
2010,7,152,25.4,22.2,29.6
2010,8,152,27.8,24.4,32.1
2010,9,152,22.7,18.7,27.7
2010,10,152,16.6,12.4,21.5
2010,11,152,9.0,3.5,15.9
2010,12,152,3.3,-1.4,9.0
2011,1,152,-1.9,-6.3,3.3
2011,2,152,4.3,-0.1,9.5
2011,3,152,6.7,1.4,12.6
2011,4,152,12.6,7.0,18.5
2011,5,152,17.2,13.0,21.9
2011,6,152,22.0,18.1,26.8
2011,7,152,25.2,21.7,29.7
2011,8,152,25.3,21.9,29.5
2011,9,152,21.8,17.5,26.7
2011,10,152,15.8,11.0,21.4
2011,11,152,12.3,8.4,17.3
2011,12,152,3.2,-0.7,7.9
2012,1,152,1.6,-2.1,6.1
2012,2,152,1.5,-2.7,6.4
2012,3,152,7.5,3.3,12.0
2012,4,152,14.1,8.6,19.9
2012,5,152,18.4,14.1,24.1
2012,6,152,21.2,18.1,25.4
2012,7,152,26.1,22.8,30.3
2012,8,152,26.8,23.9,31.0
2012,9,152,21.1,17.2,26.1
2012,10,152,16.1,11.2,22.1
2012,11,152,8.9,4.2,14.3
2012,12,152,1.3,-3.0,6.4
2013,1,152,0.9,-3.7,6.6
2013,2,152,3.4,-1.6,9.0
2013,3,152,9.4,3.0,16.1
2013,4,152,12.1,6.4,18.0
2013,5,152,18.4,13.3,24.4
2013,6,152,22.0,18.6,26.8
2013,7,152,27.8,24.3,32.3
2013,8,152,29.0,25.0,34.1
2013,9,152,22.8,19.0,27.6
2013,10,152,17.7,13.7,22.5
2013,11,152,9.8,5.2,15.5
2013,12,152,4.3,-0.1,9.6
2014,1,152,3.9,-0.9,9.6
