기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 경주시,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2010-09",283,21.3,16.6,27.5
"			2010-10",283,14.8,9.3,21.2
"			2010-11",283,6.3,-0.7,14.9
"			2010-12",283,1.1,-4.6,7.4
"			2011-01",283,-3.4,-8.6,1.6
"			2011-02",283,1.8,-3.8,8.4
"			2011-03",283,5.1,-1.4,12
"			2011-04",283,11.5,4,18.7
"			2011-05",283,16.5,11,22.6
"			2011-06",283,22.1,17.1,28.1
"			2011-07",283,25,21.5,30
"			2011-08",283,24.7,21.6,29.1
"			2011-09",283,20.6,16.1,26.5
"			2011-10",283,13.9,7.7,21
"			2011-11",283,10.5,5.7,16.2
"			2011-12",283,1.2,-3.3,6.4
"			2012-01",283,-0.2,-4.8,4.7
"			2012-02",283,-0.3,-5.5,5.5
"			2012-03",283,6.2,1,11.6
"			2012-04",283,13.2,6.3,20.2
"			2012-05",283,17.5,11.5,24.6
"			2012-06",283,21,17.1,26
"			2012-07",283,25.6,21.6,30.7
"			2012-08",283,25.8,22.4,30.7
"			2012-09",283,19.9,15.3,25.8
"			2012-10",283,13.7,7.3,21.9
"			2012-11",283,6.9,0.9,13.2
"			2012-12",283,-0.9,-5.5,4
"			2013-01",283,-1.1,-6.1,4.5
"			2013-02",283,1.6,-3.4,7.3
"			2013-03",283,7.9,0.1,15.9
"			2013-04",283,10.6,3.8,17.6
"			2013-05",283,17.8,10.9,25.4
"			2013-06",283,21.8,17.9,27.3
"			2013-07",283,27.2,22.7,32.7
"			2013-08",283,27.5,22.8,34
"			2013-09",283,21,16.4,27.1
"			2013-10",283,15.4,10.1,22
"			2013-11",283,7.4,1.4,14.2
"			2013-12",283,1.8,-3.4,8
"			2014-01",283,1.1,-5,8
"			2014-02",283,2.4,-1.9,7.7
"			2014-03",283,7.7,1.6,14.5
"			2014-04",283,12.8,6.1,20.4
"			2014-05",283,18.7,10.7,27
"			2014-06",283,20.9,16.7,26
"			2014-07",283,25,20.5,30.8
"			2014-08",283,22.9,20,27.3
"			2014-09",283,19.9,15.1,26.2
"			2014-10",283,14.4,8.9,21.4
"			2014-11",283,8.5,2.6,15.4
"			2014-12",283,0,-4.9,5.7
"			2015-01",283,1.1,-3.8,6.7
"			2015-02",283,2.4,-3.1,8.7
"			2015-03",283,7,-0.2,14.7
"			2015-04",283,12.3,6.1,19.1
"			2015-05",283,19.1,11.7,27
"			2015-06",283,21.2,16.1,27.4
"			2015-07",283,24,20,29
"			2015-08",283,25.4,20.9,31.5
"			2015-09",283,19.8,15.6,25.6
"			2015-10",283,14.4,8,22.6
"			2015-11",283,10.6,6.8,15.3
"			2015-12",283,4.7,-0.2,9.8
"			2016-01",283,-0.3,-4.9,4.9
"			2016-02",283,2.9,-2.5,8.6
"			2016-03",283,7.6,1.8,14.1
"			2016-04",283,13.7,7.8,20.1
"			2016-05",283,19,12,26.4
"			2016-06",283,22.4,17.6,27.9
"			2016-07",283,25.7,21.5,31.3
"			2016-08",283,26.7,21.8,33.3
"			2016-09",283,21.3,18.1,25.7
"			2016-10",283,16,11.9,21.5
"			2016-11",283,8.4,3.1,14.5
"			2016-12",283,4.1,-1.3,10
"			2017-01",283,1,-4.3,6.9
"			2017-02",283,3,-3.1,9.3
"			2017-03",283,6.8,0.5,13.9
"			2017-04",283,14.6,7.2,21.5
"			2017-05",283,19.7,12.3,27.5
"			2017-06",283,22.2,16.3,29.4
"			2017-07",283,27.5,23,33.3
"			2017-08",283,25.5,21.7,30.7
"			2017-09",283,20.3,14.9,26.8
"			2017-10",283,15.6,11,21.5
"			2017-11",283,7.5,0.3,15.6
"			2017-12",283,0.5,-5.4,6.9
"			2018-01",283,-0.8,-5.6,4.8
"			2018-02",283,1,-5.7,7.7
"			2018-03",283,8.5,2,15.3
"			2018-04",283,14.3,7.5,21.2
"			2018-05",283,18.2,12.7,23.9
"			2018-06",283,22.3,17,28.1
"			2018-07",283,26.9,22.5,32.5
"			2018-08",283,26.6,22.4,32.4
"			2018-09",283,20.3,16.5,25.2
"			2018-10",283,13.7,8.1,20.9
"			2018-11",283,8.3,2.1,16.2
"			2018-12",283,2.3,-2.7,8.2
"			2019-01",283,2,-3.8,8.4
"			2019-02",283,3.8,-1.4,10.2
"			2019-03",283,8.8,2.3,15.8
"			2019-04",283,12.4,6,19.3
"			2019-05",283,19.2,11.4,27.2
"			2019-06",283,21.4,16.5,27.2
"			2019-07",283,24.8,21.1,29.7
"			2019-08",283,26.1,22.1,31.8
"			2019-09",283,21.8,17.7,27.1
"			2019-10",283,15.9,11,22.1
"			2019-11",283,9.3,3.3,16.6
"			2019-12",283,3.4,-1.8,10
"			2020-01",283,3.9,-0.3,8.8
"			2020-02",283,4.6,-0.7,10.9
"			2020-03",283,8.7,2.1,15.7
"			2020-04",283,11.8,4.8,18.9
"			2020-05",283,18.5,12.9,25.2
"			2020-06",283,23.5,18.1,29.9
"			2020-07",283,22.4,19.5,26.4
"			2020-08",283,27.6,23.5,33.1
"			2020-09",283,20.2,16.2,25.6
"			2020-10",283,14.7,9.2,21.5
"			2020-11",283,9.2,3.3,15.6
"			2020-12",283,1.5,-3.9,7.7
"			2021-01",283,0,-5.6,6.3
"			2021-02",283,4.7,-1.7,11.6
"			2021-03",283,9.2,3.1,15.8
"			2021-04",283,13.1,6.6,19.9
"			2021-05",283,17.4,11.5,23.8
"			2021-06",283,22.3,17.7,27.5
"			2021-07",283,26.1,21.9,31.1
"			2021-08",283,25,21.7,29.9
"			2021-09",283,21.4,17.9,26
"			2021-10",283,15.7,10.6,22.5
"			2021-11",283,8.7,2.6,16.4
"			2021-12",283,2.6,-3.2,9.5
"			2022-01",283,0.6,-5,7.6
"			2022-02",283,1.2,-4.5,7.7
"			2022-03",283,8.7,2.1,15.7
"			2022-04",283,14.4,6.8,22
"			2022-05",283,19.5,11.8,27.4
"			2022-06",283,23.1,18.2,28.7
"			2022-07",283,26.4,22.6,31.3
"			2022-08",283,26.4,22.4,31.3
"			2022-09",283,20.7,16.5,26
"			2022-10",283,14.4,8.5,21.7
"			2022-11",283,10.3,3.3,18.8
"			2022-12",283,0.4,-4.9,6.3
"			2023-01",283,0.8,-4.9,7.6
"			2023-02",283,3.8,-2.3,10.8
"			2023-03",283,10.5,3.3,18.6
"			2023-04",283,13.9,6.7,20.5
"			2023-05",283,18.2,12.1,24.4
"			2023-06",283,23.2,18.1,29.4
"			2023-07",283,26.4,22.4,31.8
"			2023-08",283,26.9,23.3,31.7
"			2023-09",283,22.9,19.5,27.5
"			2023-10",283,14.9,8.7,22.8
"			2023-11",283,9,2.6,16.3
"			2023-12",283,3.2,-2.2,9.4
"			2024-01",283,2,-2.9,8
"			2024-02",283,5,0.6,10.2
"			2024-03",283,7.7,1.5,14.1
"			2024-04",283,14.8,8.8,21.8
"			2024-05",283,18.3,11,26
"			2024-06",283,23.8,17.9,30.7
"			2024-07",283,27.7,23.8,32
"			2024-08",283,28.6,24.2,34.5
"			2024-09",283,24.8,21.4,29.7
"			2024-10",283,17.1,12.7,22.3
"			2024-11",283,10.3,5.4,16.4
"			2024-12",283,3.2,-1.7,8.9
"			2025-01",283,0.8,-4.8,7.4
"			2025-02",283,1.2,-4,7.2
"			2025-03",283,,,
"			",,,,
