기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 김해시,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2008-03",253,9.2,4,15.6
"			2008-04",253,15.4,10.4,20.8
"			2008-05",253,19.6,15,25.1
"			2008-06",253,21.5,18.1,25.6
"			2008-07",253,26.9,24.2,31
"			2008-08",253,25.9,22.4,30.6
"			2008-09",253,23,19.2,27.9
"			2008-10",253,18.4,14,23.9
"			2008-11",253,10,5.7,15.2
"			2008-12",253,3.8,-1.5,9.4
"			2009-01",253,0.8,-3.3,6.3
"			2009-02",253,7.7,3.3,13
"			2009-03",253,10.2,5.3,15.4
"			2009-04",253,15.7,10.7,21.7
"			2009-05",253,20.4,15.8,26
"			2009-06",253,23.5,19.8,27.9
"			2009-07",253,25.3,22.6,29
"			2009-08",253,26.4,23.4,30.5
"			2009-09",253,23.8,20.3,28.9
"			2009-10",253,19.3,14.5,25
"			2009-11",253,11.5,7.3,16.5
"			2009-12",253,5,0.8,9.9
"			2010-01",253,2.1,-2.9,7.6
"			2010-02",253,5.9,1.7,10.6
"			2010-03",253,8.8,4.7,13.1
"			2010-04",253,12.7,8,17.5
"			2010-05",253,19,15,23.9
"			2010-06",253,22.9,18.9,27.9
"			2010-07",253,26.7,24,30.6
"			2010-08",253,29.3,26.5,33.3
"			2010-09",253,24.9,21.1,29.9
"			2010-10",253,18.5,14.3,23.9
"			2010-11",253,10.6,5,16.7
"			2010-12",253,4.2,-0.7,9.5
"			2011-01",253,-1.4,-5.6,4
"			2011-02",253,5.7,1.1,11.1
"			2011-03",253,8,2.5,13.9
"			2011-04",253,14.4,9.4,19.7
"			2011-05",253,19.3,15.5,23.7
"			2011-06",253,23.5,20.4,27.8
"			2011-07",253,27,24,30.9
"			2011-08",253,27.1,24.4,30.8
"			2011-09",253,24.1,20.4,29
"			2011-10",253,17.5,13,23.2
"			2011-11",253,13.9,10.1,18.5
"			2011-12",253,4.1,-0.1,8.8
"			2012-01",253,2.2,-1.7,6.7
"			2012-02",253,2.6,-1.5,7.5
"			2012-03",253,8.7,4.6,13.5
"			2012-04",253,14.9,10,20.1
"			2012-05",253,19.6,15.3,25.1
"			2012-06",253,22.9,19.6,27.3
"			2012-07",253,26.8,23.8,30.6
"			2012-08",253,28.9,25.7,33.2
"			2012-09",253,21.7,17.9,26.9
"			2012-10",253,16.5,11.7,23
"			2012-11",253,8.6,4.4,13.7
"			2012-12",253,1.4,-2.6,6
"			2013-01",253,0.9,-3.5,6.1
"			2013-02",253,3,-1.7,8
"			2013-03",253,9.1,3.3,15.2
"			2013-04",253,12.5,7.3,18.2
"			2013-05",253,19.3,14.5,25.3
"			2013-06",253,23.3,19.8,28.1
"			2013-07",253,27,24.1,30.8
"			2013-08",253,28.5,24.9,33.9
"			2013-09",253,23.3,19.2,28.9
"			2013-10",253,18.1,13.9,24.1
"			2013-11",253,9.8,5.1,15.5
"			2013-12",253,4.1,-0.4,9.4
"			2014-01",253,3.7,-1.1,9.4
"			2014-02",253,5.5,1.4,10.6
"			2014-03",253,9.5,4.7,15.1
"			2014-04",253,14.6,10,20.8
"			2014-05",253,19.5,14.4,25.4
"			2014-06",253,21.8,18.5,26.6
"			2014-07",253,25.1,21.9,29.5
"			2014-08",253,24.3,21.8,28.1
"			2014-09",253,22.5,18.6,28
"			2014-10",253,17.1,12.8,22.9
"			2014-11",253,11.3,7.1,16.8
"			2014-12",253,2.2,-2.3,7.2
"			2015-01",253,2.8,-1.4,8
"			2015-02",253,4.9,0.3,10
"			2015-03",253,9.2,4,15.4
"			2015-04",253,14.2,9.7,19.7
"			2015-05",253,19.8,15.1,25.8
"			2015-06",253,21.9,18.3,27
"			2015-07",253,25,21.9,29.5
"			2015-08",253,26.5,22.8,31.7
"			2015-09",253,21.7,17.9,27.1
"			2015-10",253,17.5,12.8,24.1
"			2015-11",253,13,9.8,17.6
"			2015-12",253,7,3,11.8
"			2016-01",253,2.3,-1.6,7.2
"			2016-02",253,5.2,0.7,10.6
"			2016-03",253,9.8,5.5,15.4
"			2016-04",253,15.3,11.1,21
"			2016-05",253,20,14.7,26.2
"			2016-06",253,23,19.6,28
"			2016-07",253,26.6,23.1,31.9
"			2016-08",253,27.4,23.4,32.9
"			2016-09",253,22.1,19.3,26.4
"			2016-10",253,17.5,14.3,22.1
"			2016-11",253,10.2,5.9,15.3
"			2016-12",253,5.6,1.1,10.7
"			2017-01",253,2.8,-1.7,8
"			2017-02",253,4.5,-0.6,10.1
"			2017-03",253,8.3,3.5,14.2
"			2017-04",253,15.4,10.4,21
"			2017-05",253,20,14.8,26.4
"			2017-06",253,22.1,17.8,28
"			2017-07",253,26.8,23.6,31.2
"			2017-08",253,26.4,22.8,31.4
"			2017-09",253,21.4,17.2,27.1
"			2017-10",253,16.6,12.8,21.9
"			2017-11",253,9.2,3.9,15.4
"			2017-12",253,1.6,-3.5,7.4
