기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 의령군,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2010-07",263,25.6,22.4,29.9
"			2010-08",263,27.3,23.9,32
"			2010-09",263,22.2,17.5,28.5
"			2010-10",263,15.1,9.3,23.1
"			2010-11",263,5.9,-0.8,15.4
"			2010-12",263,1,-5.1,8.4
"			2011-01",263,-3.6,-10.8,4.4
"			2011-02",263,2.4,-3.9,10.2
"			2011-03",263,5.7,-1.8,13.4
"			2011-04",263,12.2,4.5,20
"			2011-05",263,18,12.1,24.2
"			2011-06",263,23.1,18.5,28.7
"			2011-07",263,25.9,22.3,30.2
"			2011-08",263,25.2,22.2,29.4
"			2011-09",263,21.4,16.7,27.9
"			2011-10",263,13.8,7.7,21.7
"			2011-11",263,10.9,6.2,17
"			2011-12",263,0.9,-4.8,8
"			2012-01",263,-0.2,-6.1,6.5
"			2012-02",263,0.3,-5.8,6.9
"			2012-03",263,7.2,1,13.6
"			2012-04",263,14.2,7.1,21.4
"			2012-05",263,19.8,13.3,27.1
"			2012-06",263,22.3,17.7,28
"			2012-07",263,26.4,22.4,31
"			2012-08",263,25.4,21.7,30.5
"			2012-09",263,19.4,14.7,25.8
"			2012-10",263,13.4,6.7,22.7
"			2012-11",263,6.2,0.3,13.5
"			2012-12",263,-0.9,-5.7,5.3
"			2013-01",263,-1.7,-7.5,5.9
"			2013-02",263,1.4,-4.7,8.1
"			2013-03",263,8.3,0,16.7
"			2013-04",263,10.8,3.3,18.5
"			2013-05",263,18.5,11.2,26.6
"			2013-06",263,22.9,18.3,28.8
"			2013-07",263,26,22.5,30.5
"			2013-08",263,26.4,22,32.1
"			2013-09",263,20.1,15.5,26.4
"			2013-10",263,14.3,8.5,21.9
"			2013-11",263,5.8,-0.4,13.8
"			2013-12",263,0.4,-5.7,8
"			2014-01",263,-0.6,-7.8,8.1
"			2014-02",263,2.7,-3.4,9.7
"			2014-03",263,7.3,0.7,14.4
"			2014-04",263,12.1,4.9,20.3
"			2014-05",263,17.6,9.7,25.9
"			2014-06",263,20.8,16.6,26.5
"			2014-07",263,23.9,19.8,28.8
"			2014-08",263,22.9,19.7,27.5
"			2014-09",263,19.8,14.9,26.5
"			2014-10",263,13.3,8,20.8
"			2014-11",263,7.1,1.6,14.6
"			2014-12",263,-0.6,-6.1,6.1
"			2015-01",263,-0.1,-5.9,6.7
"			2015-02",263,1.6,-4.5,9
"			2015-03",263,7.3,-0.1,15.6
"			2015-04",263,12.9,6.9,19.8
"			2015-05",263,18.8,11.5,26.9
"			2015-06",263,20.5,15.8,26.1
"			2015-07",263,23.3,19.6,28
"			2015-08",263,23.9,19.7,29.5
"			2015-09",263,18.8,14,25.3
"			2015-10",263,13.1,7,22
"			2015-11",263,10.3,6.1,16.1
"			2015-12",263,3.9,-1.5,10.7
"			2016-01",263,-0.6,-6.2,6.8
"			2016-02",263,2.8,-3.7,10.7
"			2016-03",263,8,1.5,15.4
"			2016-04",263,13.1,7,20.1
"			2016-05",263,17.6,10.4,25.1
"			2016-06",263,21.5,17.1,26.7
"			2016-07",263,25.2,21.2,30.3
"			2016-08",263,25.8,20.9,32.4
"			2016-09",263,20.4,17,25.1
"			2016-10",263,15.1,11.2,20.6
"			2016-11",263,7.8,2,15.2
"			2016-12",263,2.9,-3.1,10.3
"			2017-01",263,0.7,-5.6,8.1
"			2017-02",263,2.8,-4.6,10.5
"			2017-03",263,7.1,-0.1,14.9
"			2017-04",263,14.6,7.1,22.1
"			2017-05",263,19.4,11.5,27.9
"			2017-06",263,22.4,16.2,29.8
"			2017-07",263,27.4,23.6,32.6
"			2017-08",263,26.1,21.7,31.8
"			2017-09",263,20.2,14.7,27.2
"			2017-10",263,15.7,10.9,22.2
"			2017-11",263,7.1,-0.1,16.1
"			2017-12",263,-0.1,-6.7,8
"			2018-01",263,-1.2,-6.8,6.2
"			2018-02",263,1.1,-6.4,9.2
"			2018-03",263,8.7,1.7,16.4
"			2018-04",263,14,6.8,21.4
"			2018-05",263,18.7,12.5,25.1
"			2018-06",263,22.8,17.3,28.9
"			2018-07",263,27.4,22.7,32.9
"			2018-08",263,27,22.4,32.9
"			2018-09",263,20.6,16.3,25.8
"			2018-10",263,13,7,20.8
"			2018-11",263,7.4,1.5,15.9
"			2018-12",263,2,-3.5,8.8
"			2019-01",263,0.7,-6,9.4
"			2019-02",263,3.6,-2.6,10.9
"			2019-03",263,8.6,1.3,16.2
"			2019-04",263,12.8,5.8,19.8
"			2019-05",263,18.9,10.6,27.6
"			2019-06",263,22.1,17,28.1
"			2019-07",263,25.2,21.6,29.5
"			2019-08",263,26.4,21.9,32
"			2019-09",263,21.9,18.1,26.9
"			2019-10",263,15.9,10.5,22.7
"			2019-11",263,9.1,2.9,17.4
"			2019-12",263,2.8,-2.8,10.5
"			2020-01",263,3.2,-1.7,9.7
"			2020-02",263,4.7,-1.2,11.7
"			2020-03",263,9.1,1.6,16.6
"			2020-04",263,11.8,3.6,19.5
"			2020-05",263,18.7,12.5,25.3
"			2020-06",263,24,18.5,30.4
"			2020-07",263,23.3,20.5,27.4
"			2020-08",263,27.7,24.2,32.5
"			2020-09",263,20.7,16.3,26.3
"			2020-10",263,14.3,8.1,22.4
"			2020-11",263,8.9,2.4,16.8
"			2020-12",263,0.7,-5.4,9.5
"			2021-01",263,0.6,-5.9,8.2
"			2021-02",263,4.9,-2.2,13.1
"			2021-03",263,10.1,2.8,17.6
"			2021-04",263,14,6.3,22
"			2021-05",263,18.3,12,24.8
"			2021-06",263,23.1,18,29
"			2021-07",263,26.9,22.5,32.3
"			2021-08",263,26.3,22.5,31.8
"			2021-09",263,21.8,18,27.1
"			2021-10",263,15.6,9.9,23.8
"			2021-11",263,8,1.5,17
"			2021-12",263,2,-4.5,10.6
"			2022-01",263,-0.1,-7.1,8.7
"			2022-02",263,1.3,-6.3,9.3
"			2022-03",263,9.1,1.4,16.8
"			2022-04",263,14.7,7,22.4
"			2022-05",263,19.3,11.1,27.6
"			2022-06",263,23.5,19,29
"			2022-07",263,27.1,22.6,32.4
"			2022-08",263,26.6,22.9,30.9
"			2022-09",263,21.5,16.6,27.6
"			2022-10",263,14.6,8.1,23
"			2022-11",263,9.8,2.4,19
"			2022-12",263,-0.3,-6.3,7.4
"			2023-01",263,0.2,-6.6,8.7
"			2023-02",263,3.5,-3.5,11.6
"			2023-03",263,9.9,1.5,18.9
"			2023-04",263,13.9,6.4,21.3
"			2023-05",263,18.5,12.2,24.9
"			2023-06",263,23.6,18.5,29.5
"			2023-07",263,26.5,23.1,31.1
"			2023-08",263,27.7,23.6,33.2
"			2023-09",263,23.8,20,29.2
"			2023-10",263,14.8,8.7,23.2
"			2023-11",263,8.7,2,16.4
"			2023-12",263,3.4,-2.4,10.7
"			2024-01",263,1.8,-4.2,9.3
"			2024-02",263,5.5,0.5,11.5
"			2024-03",263,8.2,1.3,15.2
"			2024-04",263,15.7,9.2,22.6
"			2024-05",263,18.9,11.5,26.4
"			2024-06",263,23.9,18.1,30.4
"			2024-07",263,27.9,24.7,31.7
"			2024-08",263,29.1,24.6,35.3
"			2024-09",263,26.2,21.6,32.1
"			2024-10",263,17.2,12.2,23.7
"			2024-11",263,10.5,4.8,17.9
"			2024-12",263,2.7,-3.7,10.8
"			2025-01",263,0.4,-6.3,8.9
"			2025-02",263,1.2,-5.3,8.7
"			2025-03",263,,,
"			",,,,
