기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 함양군,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2010-07",264,25,21.3,29.9
"			2010-08",264,26.3,23,31.2
"			2010-09",264,21.1,16.7,27.2
"			2010-10",264,13.2,7.4,20.9
"			2010-11",264,5.7,-1.3,14.1
"			2010-12",264,0.5,-4.8,6.7
"			2011-01",264,-3.8,-9.2,1.1
"			2011-02",264,1.4,-5.1,8.9
"			2011-03",264,4.9,-1.6,11.5
"			2011-04",264,11.7,4,19
"			2011-05",264,17.4,10.8,24.3
"			2011-06",264,22.4,16.8,28.7
"			2011-07",264,25,21.4,29.7
"			2011-08",264,24.4,21.3,29.1
"			2011-09",264,20.4,15,27.3
"			2011-10",264,12.6,6.3,20.9
"			2011-11",264,10.1,5.5,16.3
"			2011-12",264,0.9,-4.5,6.5
"			2012-01",264,-0.9,-6.3,4.6
"			2012-02",264,-0.6,-5.7,5.3
"			2012-03",264,5.9,0.2,11.5
"			2012-04",264,12.5,5.5,19.3
"			2012-05",264,18.4,11.7,25.8
"			2012-06",264,21.7,17,27.5
"			2012-07",264,25.6,21.4,30.7
"			2012-08",264,25.7,22.1,30.7
"			2012-09",264,19.2,14.7,25.7
"			2012-10",264,12.8,5.8,21.9
"			2012-11",264,6.7,1.1,13.1
"			2012-12",264,-0.5,-5.1,5
"			2013-01",264,-1.4,-6.8,5
"			2013-02",264,1.6,-3.8,7.6
"			2013-03",264,7.3,-1.1,15.9
"			2013-04",264,10,2.8,17.2
"			2013-05",264,17.9,10.2,25.7
"			2013-06",264,22.7,17.9,28.6
"			2013-07",264,26.6,22.2,32.1
"			2013-08",264,26.6,22.3,33.3
"			2013-09",264,19.9,14.9,27
"			2013-10",264,14.2,8.3,22.3
"			2013-11",264,6.7,1.2,13.2
"			2013-12",264,1.5,-3.9,7.2
"			2014-01",264,0.1,-6.5,7.8
"			2014-02",264,2.4,-3.6,9.4
"			2014-03",264,7.4,0.7,14.1
"			2014-04",264,12.9,5.3,20.7
"			2014-05",264,17.8,9.5,26
"			2014-06",264,21.4,16.4,27.1
"			2014-07",264,25,20.7,30.5
"			2014-08",264,23.3,20.1,27.6
"			2014-09",264,19.6,14.6,26.5
"			2014-10",264,13.1,6.8,21.4
"			2014-11",264,7.8,2,15.2
"			2014-12",264,-0.1,-4.9,5.4
"			2015-01",264,0.5,-4.2,6
"			2015-02",264,1.8,-3.4,7.6
"			2015-03",264,6.3,-1.1,14.4
"			2015-04",264,12.6,6.8,19.6
"			2015-05",264,18.2,10.2,25.9
"			2015-06",264,20.9,15.6,27.1
"			2015-07",264,24.6,20.4,30
"			2015-08",264,25.1,20.3,31.6
"			2015-09",264,19.5,13.9,27
"			2015-10",264,13.5,7.1,22.4
"			2015-11",264,9.7,5.4,14.7
"			2015-12",264,3.2,-1.4,8.9
"			2016-01",264,0.2,-4.4,4.9
"			2016-02",264,2.2,-3.1,8.2
"			2016-03",264,7.8,0.7,15.3
"			2016-04",264,14.3,7.6,21.7
"			2016-05",264,18.1,10.4,26
"			2016-06",264,21.8,17,27.4
"			2016-07",264,25.6,21.3,31
