기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 광양시,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2011-03",266,7.1,2.3,12.7
"			2011-04",266,13.2,8.1,18.7
"			2011-05",266,18.3,14.5,23.2
"			2011-06",266,22.6,19.1,27.4
"			2011-07",266,26,23.2,29.8
"			2011-08",266,26.2,23.8,29.8
"			2011-09",266,23.7,19.8,28.6
"			2011-10",266,17.1,12.4,22.4
"			2011-11",266,13.8,10.3,17.9
"			2011-12",266,3.9,0.2,8.4
"			2012-01",266,2.4,-1.2,6.8
"			2012-02",266,2.2,-1.7,6.8
"			2012-03",266,8,3.8,12.9
"			2012-04",266,14.3,9.6,19.6
"			2012-05",266,20.2,16,25.6
"			2012-06",266,22.4,19.2,26.6
"			2012-07",266,25.8,23,29.7
"			2012-08",266,27.1,24.4,30.7
"			2012-09",266,22.2,18.4,26.9
"			2012-10",266,18.2,13.2,24.3
"			2012-11",266,10.4,6.3,15.3
"			2012-12",266,3.2,-0.9,7.9
"			2013-01",266,2.7,-1.5,7.9
"			2013-02",266,4.5,-0.1,9.5
"			2013-03",266,9.5,3.8,15.6
"			2013-04",266,12.1,6.9,17.8
"			2013-05",266,19.3,14.4,25
"			2013-06",266,22.9,19.8,26.9
"			2013-07",266,27.3,24.7,31.1
"			2013-08",266,28.4,24.8,33.2
"			2013-09",266,23,19.3,27.4
"			2013-10",266,18,14.1,22.8
"			2013-11",266,9.6,5.3,14.6
"			2013-12",266,4.3,0.4,9
"			2014-01",266,3.6,-1.1,8.8
"			2014-02",266,5.4,1.4,10
"			2014-03",266,9.6,5.2,14.9
"			2014-04",266,14.9,10.3,20.6
"			2014-05",266,19.5,14.3,25.3
"			2014-06",266,22.1,18.7,26.4
"			2014-07",266,25.1,22,29
"			2014-08",266,25,22.4,28.5
"			2014-09",266,22.4,19,26.6
"			2014-10",266,17.2,12.9,22
"			2014-11",266,11.5,7.7,15.9
"			2014-12",266,2.5,-1.4,7.1
"			2015-01",266,3.2,-0.6,7.8
"			2015-02",266,4.1,0,8.9
"			2015-03",266,9.1,4.1,15
"			2015-04",266,14.1,10,18.9
"			2015-05",266,20.1,14.9,25.7
"			2015-06",266,22.3,18.9,26.9
"			2015-07",266,25.4,22.4,29.5
"			2015-08",266,26.9,23.1,31.7
"			2015-09",266,22.5,18.5,27.2
"			2015-10",266,17.9,13.4,23.7
"			2015-11",266,12.9,9.8,17
"			2015-12",266,6.5,2.9,10.5
"			2016-01",266,2.2,-1.2,6.4
"			2016-02",266,4.1,-0.3,9.4
"			2016-03",266,9.4,4.9,14.8
"			2016-04",266,15.2,10.9,20.5
"			2016-05",266,19.6,14.6,25
"			2016-06",266,22.7,19.6,26.8
"			2016-07",266,26.1,23.1,30.1
"			2016-08",266,27.9,23.7,33.4
"			2016-09",266,22.8,19.9,26.4
"			2016-10",266,17.8,14.5,21.7
"			2016-11",266,10.7,6.5,15.4
"			2016-12",266,5.9,1.8,10.7
"			2017-01",266,3.1,-1,8
"			2017-02",266,4.2,-0.6,9.6
"			2017-03",266,8.4,3.7,14.1
"			2017-04",266,15.6,10.6,21.6
"			2017-05",266,19.9,14.5,26.2
"			2017-06",266,22.5,18.2,28
"			2017-07",266,27,24,31.2
"			2017-08",266,26.8,23.3,31.4
"			2017-09",266,22.1,18.2,26.7
"			2017-10",266,17.2,13.6,21.7
"			2017-11",266,9.6,4.6,15.3
"			2017-12",266,2.4,-1.9,7.3
"			2018-01",266,0.7,-3.2,5.4
"			2018-02",266,2.7,-1.9,8.1
"			2018-03",266,9.6,4.7,15.4
"			2018-04",266,14.5,9.5,20.3
"			2018-05",266,18.7,14.6,23.6
"			2018-06",266,22.7,18.8,27.7
"			2018-07",266,27.8,24,32.1
"			2018-08",266,27.9,24.8,32.4
"			2018-09",266,21.6,18.4,25.6
"			2018-10",266,15.4,11,20.7
"			2018-11",266,11.4,7,16.5
"			2018-12",266,4.7,0.8,9.2
"			2019-01",266,3.4,-1,9
"			2019-02",266,5.5,0.9,10.7
"			2019-03",266,9.9,5,15.7
"			2019-04",266,13.6,8.8,19.2
"			2019-05",266,19.9,14.2,26.2
"			2019-06",266,21.8,17.7,26.9
"			2019-07",266,24.9,22,28.7
"			2019-08",266,26.9,23.5,31.2
"			2019-09",266,22.9,19.9,27
"			2019-10",266,17.9,14,22.9
"			2019-11",266,12.1,7.5,17.4
"			2019-12",266,5.7,1.7,10.7
"			2020-01",266,5.4,2.1,10
"			2020-02",266,6.3,1.8,11.5
"			2020-03",266,10,4.9,15.9
"			2020-04",266,12.6,7.2,18.9
"			2020-05",266,18.7,14.4,23.8
"			2020-06",266,23.2,19.1,28.4
