기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 보성군,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2010-03",258,6.9,2.3,11.2
"			2010-04",258,10.3,4.8,15.5
"			2010-05",258,17.2,11.9,22.6
"			2010-06",258,22.6,18.7,26.9
"			2010-07",258,25.6,23.2,28.8
"			2010-08",258,27.4,24.6,30.8
"			2010-09",258,23.3,19.2,27.8
"			2010-10",258,15.9,10.6,21.7
"			2010-11",258,8.2,2,14.7
"			2010-12",258,2.7,-2.2,8.2
"			2011-01",258,-1.9,-6,2.6
"			2011-02",258,3.5,-2.2,9.6
"			2011-03",258,5.6,0.2,11.5
"			2011-04",258,11.9,5.5,17.9
"			2011-05",258,17.5,12.6,22.6
"			2011-06",258,22.6,19.2,26.6
"			2011-07",258,26.2,23.4,29.5
"			2011-08",258,25.7,23.1,29
"			2011-09",258,22.4,17.8,27.8
"			2011-10",258,15.3,9.8,21.6
"			2011-11",258,12.7,8.4,17.4
"			2011-12",258,3.1,-1.4,7.7
"			2012-01",258,1.3,-3.3,6.2
"			2012-02",258,1.1,-3.2,5.9
"			2012-03",258,7,2.2,12
"			2012-04",258,12.7,6.4,18.6
"			2012-05",258,19,13.7,24.6
"			2012-06",258,22.5,19.2,26.3
"			2012-07",258,25.9,23,29.3
"			2012-08",258,27.1,24,30.7
"			2012-09",258,21.2,16.9,26.1
"			2012-10",258,15.6,9.7,22
"			2012-11",258,8.3,3.4,13.2
"			2012-12",258,1.4,-2.9,5.8
"			2013-01",258,0.7,-3.8,5.5
"			2013-02",258,2.9,-1.9,7.8
"			2013-03",258,7.7,1,14.9
"			2013-04",258,11.1,4.6,17.4
"			2013-05",258,18.1,11.8,24.6
"			2013-06",258,23,19.8,27
"			2013-07",258,26.9,24.2,30.4
"			2013-08",258,27.9,24.3,32.6
"			2013-09",258,22.4,18,27.6
"			2013-10",258,17,11.7,23.1
"			2013-11",258,8.8,3.6,14.6
"			2013-12",258,3.8,-1.1,8.9
"			2014-01",258,2.3,-3.8,8.7
"			2014-02",258,4.4,-1.1,9.9
"			2014-03",258,8.6,2.7,14.3
"			2014-04",258,13.9,7.6,20.4
"			2014-05",258,18.2,11.7,24.8
"			2014-06",258,22.4,18.9,26.5
"			2014-07",258,24.9,21.9,28.6
"			2014-08",258,24.6,21.9,28.2
"			2014-09",258,21.8,17.5,26.9
"			2014-10",258,16.1,10.4,22.2
"			2014-11",258,10.6,5.5,15.9
"			2014-12",258,2.2,-2.4,7
"			2015-01",258,2.8,-1.9,7.8
"			2015-02",258,3.9,-1.2,8.7
"			2015-03",258,7.9,1.3,14.5
"			2015-04",258,13.5,8.3,18.7
"			2015-05",258,18.9,12.8,24.9
"			2015-06",258,21.7,18.4,25.7
"			2015-07",258,24.9,21.9,28.7
"			2015-08",258,25.8,22,30.5
"			2015-09",258,21.3,16.6,26.7
"			2015-10",258,16.1,10.6,22.7
"			2015-11",258,12.2,8.5,16.5
"			2015-12",258,5.9,1.5,10.7
"			2016-01",258,1.6,-2.4,6.3
"			2016-02",258,3.5,-1.4,9
"			2016-03",258,8.3,2.4,14.4
"			2016-04",258,14.5,8.9,20.3
"			2016-05",258,18.8,12.7,24.8
"			2016-06",258,22.5,19.4,26.2
"			2016-07",258,25.9,23,29.6
"			2016-08",258,27.1,22.9,32.4
"			2016-09",258,22.3,18.8,26.6
"			2016-10",258,17.1,13.2,21.6
"			2016-11",258,9.5,4,15.1
"			2016-12",258,4.8,-0.2,10.2
"			2017-01",258,2.2,-2.7,7.6
"			2017-02",258,3.1,-2.3,9
"			2017-03",258,7.2,0.8,13.4
"			2017-04",258,14.2,7.4,20.9
"			2017-05",258,18.8,11.9,25.6
"			2017-06",258,22,17.5,27.3
"			2017-07",258,27,24,31.2
"			2017-08",258,26.5,22.7,31.2
"			2017-09",258,21.5,16.9,27
"			2017-10",258,16.5,11.7,22.3
"			2017-11",258,8.4,1.9,15.2
"			2017-12",258,1.8,-4,7.7
"			2018-01",258,0.2,-4.4,5.2
"			2018-02",258,1.8,-3.9,7.9
"			2018-03",258,8.7,2.8,14.9
"			2018-04",258,13.6,7.4,19.6
"			2018-05",258,18.2,13,23.4
"			2018-06",258,22.7,18.8,27.4
"			2018-07",258,27.2,23.5,31.4
"			2018-08",258,27.7,24.1,31.9
"			2018-09",258,21.1,17,25.9
"			2018-10",258,14.4,8.5,20.6
"			2018-11",258,9.5,3.4,16.1
"			2018-12",258,3.5,-1.2,8.5
"			2019-01",258,2.5,-2.6,8.1
"			2019-02",258,4,-1.1,9.8
"			2019-03",258,8.2,1.8,14.7
"			2019-04",258,12.2,6,18.1
"			2019-05",258,18.2,11,25.4
"			2019-06",258,21.6,17.7,26.4
"			2019-07",258,24.7,21.9,28.2
"			2019-08",258,26.3,22.6,30.9
"			2019-09",258,22.4,18.8,26.6
"			2019-10",258,16.5,11.4,22.2
"			2019-11",258,10.7,4.7,17.1
"			2019-12",258,4.6,-0.9,10.2
"			2020-01",258,5.1,1.3,9.5
"			2020-02",258,5.4,0.2,10.9
"			2020-03",258,8.6,1.8,15
"			2020-04",258,11.4,4.7,18
"			2020-05",258,18.1,13,23.4
