기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 순천,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2011-04",174,11.2,4.2,18
"			2011-05",174,16.9,11.3,23
"			2011-06",174,21.9,17.3,27.2
"			2011-07",174,25.3,22.2,29
"			2011-08",174,24.9,21.9,29
"			2011-09",174,21.3,16.1,27.4
"			2011-10",174,13.7,7.6,21.1
"			2011-11",174,11.2,6.3,16.9
"			2011-12",174,1.4,-2.9,6.4
"			2012-01",174,-0.3,-4.7,4.7
"			2012-02",174,-0.7,-5.3,5.1
"			2012-03",174,5.8,0.6,11.5
"			2012-04",174,12.1,5.4,18.7
"			2012-05",174,18.1,11.5,25.1
"			2012-06",174,21.3,16.8,26.7
"			2012-07",174,25.4,21.9,29.8
"			2012-08",174,26.1,22.5,30.3
"			2012-09",174,19.9,15.2,25.6
"			2012-10",174,13.6,7.2,21.4
"			2012-11",174,7,1.4,12.8
"			2012-12",174,-0.3,-4.8,4.6
"			2013-01",174,-1.1,-5.8,4.2
"			2013-02",174,1.3,-3.8,6.9
"			2013-03",174,6.7,-0.8,14.8
"			2013-04",174,9.9,3.4,16.7
"			2013-05",174,17.3,10.6,24.5
"			2013-06",174,22,17.9,26.8
"			2013-07",174,25.6,22.5,29.6
"			2013-08",174,26.6,22.5,32.1
"			2013-09",174,20.7,15.9,26.6
"			2013-10",174,14.9,9.2,22.1
"			2013-11",174,6.9,1.6,13.3
"			2013-12",174,1.9,-2.9,7.4
"			2014-01",174,0.8,-5.2,7.5
"			2014-02",174,2.8,-2.8,9.4
"			2014-03",174,7.4,1.2,13.6
"			2014-04",174,12.8,6.3,20
"			2014-05",174,17.1,9.9,24.5
"			2014-06",174,21,16.7,26.2
"			2014-07",174,24,20.6,28.4
"			2014-08",174,23.3,20.5,27.2
"			2014-09",174,20.2,15.5,26.3
"			2014-10",174,14,7.7,21.5
"			2014-11",174,8.6,2.8,15.1
"			2014-12",174,-0.3,-4.9,5.3
"			2015-01",174,0.7,-4,6.5
"			2015-02",174,2.3,-2.3,7.7
"			2015-03",174,6.8,0,14.4
"			2015-04",174,12.8,7,19.3
"			2015-05",174,18.2,11.2,25.4
"			2015-06",174,20.7,16.3,25.8
"			2015-07",174,24.2,20.6,29
"			2015-08",174,24.6,20.2,30.2
"			2015-09",174,19.7,14.5,26.4
"			2015-10",174,14.3,8.5,22.2
"			2015-11",174,10.3,6.1,15.2
"			2015-12",174,4,-0.6,9.1
"			2016-01",174,0.2,-3.6,4.9
"			2016-02",174,2.4,-2.8,8.2
"			2016-03",174,7.8,1.3,14.6
"			2016-04",174,14.3,8.2,21.1
"			2016-05",174,18.4,11.4,25.3
"			2016-06",174,22.2,18.3,26.8
"			2016-07",174,26.1,22.7,30.8
"			2016-08",174,26.9,22.2,33.2
"			2016-09",174,21.8,17.9,27
"			2016-10",174,15.8,11.6,21
"			2016-11",174,7.6,2,14.4
"			2016-12",174,3.3,-1.8,9.4
"			2017-01",174,0.5,-4.6,6.6
"			2017-02",174,1.6,-4,8.1
"			2017-03",174,5.8,-0.7,13.1
"			2017-04",174,13.4,6.1,20.9
"			2017-05",174,17.6,10,25.4
"			2017-06",174,20.8,15,27.4
"			2017-07",174,26.4,23,31.1
"			2017-08",174,25.5,21.2,30.7
"			2017-09",174,20,14.7,26.5
"			2017-10",174,14.6,9.7,21.3
"			2017-11",174,6.4,-0.2,14.3
"			2017-12",174,0,-5.3,6.1
"			2018-01",174,-1.7,-5.8,3.8
"			2018-02",174,0.2,-5.5,6.7
"			2018-03",174,8,1.6,14.9
"			2018-04",174,12.9,6.3,19.6
"			2018-05",174,17.2,11.2,23.2
"			2018-06",174,21.2,16.1,27.2
"			2018-07",174,26,21.7,31.2
"			2018-08",174,26.4,22.1,31.5
"			2018-09",174,19.6,15,25.1
"			2018-10",174,12.6,6.7,19.5
"			2018-11",174,7.6,1.2,15.5
"			2018-12",174,2.1,-2.9,7.7
"			2019-01",174,1.2,-3.6,7.3
"			2019-02",174,2.9,-2.4,9.2
"			2019-03",174,7.5,0.9,14.6
"			2019-04",174,11.8,5.5,18.2
"			2019-05",174,17.4,9.5,25
"			2019-06",174,20.6,15.9,26.3
"			2019-07",174,23.6,20.5,27.8
"			2019-08",174,25,21,30.1
"			2019-09",174,21.4,17.5,26.3
"			2019-10",174,14.9,9.8,21.5
"			2019-11",174,8.8,2.3,16.2
"			2019-12",174,2.6,-2.7,8.9
