기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 영광군,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2008-01",252,-0.1,-3.3,3.3
"			2008-02",252,-0.4,-4.8,4.2
"			2008-03",252,6.3,0.4,12.2
"			2008-04",252,12.2,6.4,18.9
"			2008-05",252,16.8,11.3,22.7
"			2008-06",252,21,17.7,25.5
"			2008-07",252,26.2,23.4,30.2
"			2008-08",252,25.4,21.5,30.1
"			2008-09",252,22.3,17.9,27.8
"			2008-10",252,16.2,10.5,22.7
"			2008-11",252,8.5,3.4,14.3
"			2008-12",252,3.1,-2,7.9
"			2009-01",252,-0.1,-4.4,4.8
"			2009-02",252,3.4,-1.4,8.3
"			2009-03",252,6.1,1.1,11.7
"			2009-04",252,11.1,4.9,17.8
"			2009-05",252,17.4,11.6,23.8
"			2009-06",252,21.6,16.9,27.1
"			2009-07",252,24.1,21,27.7
"			2009-08",252,25.2,21.6,29.9
"			2009-09",252,21.1,16.5,26.7
"			2009-10",252,16,10.3,22.5
"			2009-11",252,8.7,4.5,13.7
"			2009-12",252,1.6,-2.7,5.9
"			2010-01",252,-0.8,-5.2,3.9
"			2010-02",252,2.7,-1.3,7
"			2010-03",252,5.6,0.9,10
"			2010-04",252,9.1,3.9,14.6
"			2010-05",252,16.7,11.6,22.4
"			2010-06",252,22,17.8,27.5
"			2010-07",252,25.9,22.9,30.1
"			2010-08",252,27.6,24.6,31.8
"			2010-09",252,22.8,19,28
"			2010-10",252,14.6,9.2,20.6
"			2010-11",252,7.7,1.8,13.8
"			2010-12",252,2.1,-2.9,7.2
"			2011-01",252,-4.3,-8.9,0.1
"			2011-02",252,0.8,-4,7.2
"			2011-03",252,3.9,-1,9.2
"			2011-04",252,10.3,4.1,16.4
"			2011-05",252,17.6,12.5,22.9
"			2011-06",252,21.9,18.2,26.9
"			2011-07",252,26.2,23.3,30
"			2011-08",252,25.5,22.9,29.3
"			2011-09",252,21.1,16.8,26.5
"			2011-10",252,13.8,8.2,20.1
"			2011-11",252,11.9,7.2,16.8
"			2011-12",252,1.5,-2.2,5.6
"			2012-01",252,-0.8,-4.7,3.3
"			2012-02",252,-1,-5.2,3.8
"			2012-03",252,5,0.5,9.5
"			2012-04",252,12,6.1,18
"			2012-05",252,17.9,12.8,24.4
"			2012-06",252,22.5,18.3,27.5
"			2012-07",252,25.8,22.5,29.9
"			2012-08",252,27.2,23.8,31.4
"			2012-09",252,20.6,16.7,25.3
"			2012-10",252,14.8,9.1,20.9
"			2012-11",252,7.5,3,12.1
"			2012-12",252,-0.7,-4.9,3.7
"			2013-01",252,-1.3,-6,3.4
"			2013-02",252,0.7,-3.9,5.3
"			2013-03",252,5.3,-0.7,12.1
"			2013-04",252,9.7,4,15.6
"			2013-05",252,17.2,11.6,23.6
"			2013-06",252,22.5,18.6,27.5
"			2013-07",252,27,24.5,30.4
"			2013-08",252,27.8,24.2,32.7
"			2013-09",252,21.7,17.3,26.9
"			2013-10",252,16,10.3,22
"			2013-11",252,8,3.2,12.9
"			2013-12",252,2,-2.3,6.6
"			2014-01",252,0.3,-5.4,6.2
"			2014-02",252,2.1,-2.6,7.8
"			2014-03",252,6.9,1.4,12.4
"			2014-04",252,12.5,7,19
"			2014-05",252,17.7,11.8,24.1
"			2014-06",252,22.3,18.5,27
"			2014-07",252,25,21.8,29.1
"			2014-08",252,24,21.4,27.8
"			2014-09",252,21.4,17,27
"			2014-10",252,15.6,9.6,22.2
"			2014-11",252,9.4,4.4,15
"			2014-12",252,0.6,-3.6,5.3
"			2015-01",252,1,-3.5,5.7
"			2015-02",252,2.1,-2.3,6.6
"			2015-03",252,6,-0.1,12.8
"			2015-04",252,12.5,6.9,18.8
"			2015-05",252,17.4,11.7,24.1
"			2015-06",252,21.5,17.6,26.3
"			2015-07",252,24.7,21.6,29.1
"			2015-08",252,25.3,21.6,30.2
"			2015-09",252,20.6,15.4,26.9
"			2015-10",252,15.6,10.1,22.1
"			2015-11",252,10.8,7.2,14.9
"			2015-12",252,4.3,0.4,8.6
"			2016-01",252,-0.4,-4,3.5
"			2016-02",252,2.1,-2.4,6.7
"			2016-03",252,6.2,0.7,12.3
"			2016-04",252,13,7.5,19.7
"			2016-05",252,18,12.4,24.5
"			2016-06",252,21.9,18.4,26.4
"			2016-07",252,26.1,22.9,30.3
"			2016-08",252,27,23,32.1
"			2016-09",252,22.1,18.4,27
"			2016-10",252,16.1,12.4,20.7
"			2016-11",252,8.4,3.3,13.5
"			2016-12",252,3.3,-1.7,8.5
"			2017-01",252,0.3,-4.2,5.6
"			2017-02",252,1,-4.1,6.6
"			2017-03",252,4.9,-1.2,11.5
"			2017-04",252,12.5,6.6,19.2
"			2017-05",252,17.9,11.7,24.7
"			2017-06",252,21.4,16.7,27.2
"			2017-07",252,27.1,24.3,31.2
"			2017-08",252,26.2,22.6,30.9
"			2017-09",252,20.9,16.1,26.6
"			2017-10",252,15.2,10.7,20.7
"			2017-11",252,7.1,1.1,13.4
"			2017-12",252,0.4,-3.9,5.1
"			2018-01",252,-2.2,-6.4,2.5
"			2018-02",252,-0.5,-5.4,4.4
"			2018-03",252,7.7,2.2,14.2
"			2018-04",252,12.7,6.9,19
"			2018-05",252,17.7,12.7,23.3
"			2018-06",252,22.1,17.9,27.7
"			2018-07",252,27.2,23.3,32.4
"			2018-08",252,28.2,24.3,33.2
"			2018-09",252,21.2,17,26.5
"			2018-10",252,13.5,8.2,19.4
"			2018-11",252,8.2,2.4,15.1
"			2018-12",252,1.5,-2.9,6.3
"			2019-01",252,0,-4.4,5
"			2019-02",252,1.6,-3.1,6.6
"			2019-03",252,6.6,1,12.7
"			2019-04",252,11.3,5.9,17.2
"			2019-05",252,17.3,10.9,24.2
"			2019-06",252,20.7,16.6,25.8
"			2019-07",252,25.2,21.8,29.8
"			2019-08",252,26.2,22.6,30.9
"			2019-09",252,21.8,18.2,26.3
"			2019-10",252,15.6,10.7,21.1
"			2019-11",252,9.4,3.9,15.5
"			2019-12",252,4,-0.4,8.6
"			2020-01",252,3.3,-0.4,7.5
"			2020-02",252,3.9,-0.8,9.1
"			2020-03",252,7.2,1.4,13
"			2020-04",252,9.8,3.8,15.9
"			2020-05",252,17.3,12.6,22.9
"			2020-06",252,22.2,18.5,27.3
"			2020-07",252,22.9,20.4,26.5
"			2020-08",252,27.3,24.5,31.5
"			2020-09",252,20.8,17.1,25.7
"			2020-10",252,14.1,9,20.2
"			2020-11",252,9.4,4.5,14.6
"			2020-12",252,1.4,-3,6.8
"			2021-01",252,0.2,-4.3,5.1
"			2021-02",252,3.7,-1.3,9.2
"			2021-03",252,8.2,3,14.2
"			2021-04",252,13.1,7.3,19.1
"			2021-05",252,17,11.6,22.6
"			2021-06",252,22.3,18.2,27.4
"			2021-07",252,26.6,22.9,31.6
"			2021-08",252,25.4,22.1,30.5
"			2021-09",252,22.4,18.6,27
"			2021-10",252,15.9,11,21.9
"			2021-11",252,9.5,4.6,15.4
"			2021-12",252,3.2,-1.4,8.4
"			2022-01",252,0,-4.2,4.8
"			2022-02",252,0.5,-4.4,5.7
"			2022-03",252,7.6,1.9,13.7
"			2022-04",252,13.2,7.3,19.7
"			2022-05",252,17.5,11.7,24.1
"			2022-06",252,22.9,19.4,27.4
"			2022-07",252,26.5,23.1,30.6
"			2022-08",252,26.3,23.4,30
"			2022-09",252,21.7,17.6,26.9
"			2022-10",252,14.4,9,20.2
"			2022-11",252,10.3,4.3,17.2
"			2022-12",252,0.1,-4.3,4.9
"			2023-01",252,0.7,-4.4,5.9
"			2023-02",252,2.2,-2.7,7.6
"			2023-03",252,8.7,2.4,15.5
"			2023-04",252,12.8,6.6,19
"			2023-05",252,18.1,13.1,23.7
"			2023-06",252,22.2,18.2,27.3
"			2023-07",252,25.9,23,29.8
"			2023-08",252,26.9,23.3,31.7
"			2023-09",252,23.1,19.4,28
"			2023-10",252,15.7,10.5,21.5
"			2023-11",252,9.4,4.6,14.1
"			2023-12",252,3.7,-0.4,8.1
"			2024-01",252,2.1,-1.9,6.5
"			2024-02",252,4.9,1,9.4
"			2024-03",252,6.8,1.6,12.3
"			2024-04",252,14.3,9,20.2
"			2024-05",252,17.4,12.1,23.2
"			2024-06",252,22.5,18,27.8
"			2024-07",252,26.9,24.4,30.4
"			2024-08",252,28.3,24.6,33.3
"			2024-09",252,25.8,21.8,31.1
"			2024-10",252,16.7,12.2,22.2
"			2024-11",252,10.5,5.5,16.3
"			2024-12",252,3.3,-0.5,7.5
"			2025-01",252,0.9,-3.7,6.1
"			2025-02",252,0.3,-4,4.9
"			2025-03",252,,,
"			",,,,
