기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 진도(첨찰산),,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2002-01",175,2,-0.5,5.6
"			2002-02",175,2.5,-0.8,7.4
"			2002-03",175,7.4,3.6,12.3
"			2002-04",175,11.7,7.9,16.7
"			2002-05",175,15.9,12.7,20.4
"			2002-06",175,20.1,16.9,24.7
"			2002-07",175,22.5,20.5,25.5
"			2002-08",175,22.8,20.8,26
"			2002-09",175,20.3,17.2,25.5
"			2002-10",175,14,10.9,18.7
"			2002-11",175,6.2,2.7,10.5
"			2002-12",175,3.3,0.6,7.1
"			2003-01",175,-1.6,-4.2,1.7
"			2003-02",175,1.7,-1.6,5.9
"			2003-03",175,4.2,1,9.3
"			2003-04",175,11,7.7,16.2
"			2003-05",175,15.9,12.6,20.1
"			2003-06",175,19,16.3,23.3
"			2003-07",175,20.5,18.5,23.2
"			2003-08",175,22.3,20.2,26
"			2003-09",175,20.6,17.8,25.2
"			2003-10",175,13.5,10.1,19.2
"			2003-11",175,9.6,6.2,14
"			2003-12",175,2,-0.7,5.9
"			2004-01",175,-0.7,-3.5,4
"			2004-02",175,2.5,-1.2,7.7
"			2004-03",175,5.1,0.9,11.2
"			2004-04",175,11.1,7,17.1
"			2004-05",175,14.7,11.3,19.2
"			2004-06",175,19.4,16.4,24.1
"			2004-07",175,22.8,20.5,26.2
"			2004-08",175,23.6,20.7,28.9
"			2004-09",175,19.6,17.2,24.2
"			2004-10",175,14.4,10.7,20.5
"			2004-11",175,9.4,6.2,14.9
"			2004-12",175,3.8,0.6,8.6
"			2005-01",175,-1.6,-4,2.2
"			2005-02",175,-1.6,-4.5,2.9
"			2005-03",175,3,-1,8.8
"			2005-04",175,11.5,7.1,17.7
"			2005-05",175,15.3,11.1,21.3
"			2005-06",175,20,17,24.3
"			2005-07",175,22.7,20.4,26.7
"			2005-08",175,22.8,20.6,26.6
"			2005-09",175,20.4,17.9,25.1
"			2005-10",175,14.2,10.7,20
"			2005-11",175,9.1,5.8,14.4
"			2005-12",175,-1.2,-4.1,2.7
"			2006-01",175,0.5,-2.2,5
"			2006-02",175,0,-3.6,5
"			2006-03",175,4.7,0.2,10.6
"			2006-04",175,9.4,5.3,14.9
"			2006-05",175,14.8,11.1,19.8
"			2006-06",175,19.3,16.2,23.6
"			2006-07",175,21.7,20,24.7
"			2006-08",175,25.1,22.1,30.3
"			2006-09",175,18.3,15.2,23.8
"			2006-10",175,16.8,13.1,23
"			2006-11",175,9.1,5.6,14.2
"			2006-12",175,3.1,0,7.8
"			2007-01",175,0.8,-1.8,5.4
"			2007-02",175,4,0.3,9.7
"			2007-03",175,5.7,1.7,11.5
"			2007-04",175,9.9,5.5,16.1
"			2007-05",175,15.2,11.2,20.6
"			2007-06",175,18.3,15.6,22.6
"			2007-07",175,21.4,18.9,25.4
"			2007-08",175,23.9,21.8,27.6
"			2007-09",175,19.5,17.3,23.3
"			2007-10",175,14.2,11.1,19.9
"			2007-11",175,7.5,4.2,13
"			2007-12",175,3.2,0.5,7.4
"			2008-01",175,-0.8,-3,2.5
"			2008-02",175,-1.6,-4.5,3.3
"			2008-03",175,5.3,1.8,10.7
"			2008-04",175,11.2,7.3,16.7
"			2008-05",175,15.1,11.5,20.1
"			2008-06",175,17.7,15.3,21.7
"			2008-07",175,23.5,21.4,26.9
"			2008-08",175,22.6,20.1,27.1
"			2008-09",175,20.3,17.6,24.7
"			2008-10",175,15.4,12.4,20.5
"			2008-11",175,8.1,5,12.6
"			2008-12",175,2.6,-0.5,6.6
"			2009-01",175,-0.5,-3.1,3.2
"			2009-02",175,3,-0.3,7.9
"			2009-03",175,4.6,0.8,10.1
"			2009-04",175,11.1,7,17.1
"			2009-05",175,16,12.2,21.3
"			2009-06",175,19.1,15.7,23.9
"			2009-07",175,21.6,19.4,24.8
"			2009-08",175,22.4,20,26.4
"			2009-09",175,19.4,16.6,24.1
"			2009-10",175,15.3,12.1,20.6
"			2009-11",175,7.6,4.8,12.3
"			2009-12",175,1.3,-1.6,5.2
"			2010-01",175,-0.8,-3.7,3.1
"			2010-02",175,2.1,-0.9,6.3
"			2010-03",175,4,0.1,8.5
"			2010-04",175,8,4.1,13.4
"			2010-05",175,14.9,11.3,20.7
"			2010-06",175,19.6,16.6,24.4
"			2010-07",175,22.6,20.8,26.1
"			2010-08",175,24.8,22.9,28
"			2010-09",175,20.9,18.4,25.4
"			2010-10",175,13.7,10.5,19.1
"			2010-11",175,7.7,4.5,12.8
"			2010-12",175,1.7,-1.6,5.8
"			2011-01",175,-4.9,-7.2,-1.8
"			2011-02",175,1.5,-1.7,6.3
"			2011-03",175,3,-0.8,9.1
"			2011-04",175,9.6,5.1,15.9
"			2011-05",175,15.4,11.9,20.5
"			2011-06",175,19.4,16.5,23.7
"			2011-07",175,23.3,21.2,26.5
"			2011-08",175,22.4,20.7,25.6
"			2011-09",175,20.1,16.9,25.7
"			2011-10",175,13.8,10.3,19.7
"			2011-11",175,11,8.1,15.5
"			2011-12",175,0.6,-1.8,4.1
"			2012-01",175,-1.4,-4,2.4
"			2012-02",175,-1.8,-4.7,2.4
"			2012-03",175,3.7,0.2,8.8
"			2012-04",175,10.5,6.3,16.3
"			2012-05",175,16.9,13,22.9
"			2012-06",175,19.4,16.5,24.4
"			2012-07",175,22.9,20.7,26.6
"			2012-08",175,24.2,22.1,27.9
"			2012-09",175,18.9,16,23.8
"			2012-10",175,14.5,11.1,20
"			2012-11",175,6.6,3.8,11.2
"			2012-12",175,-0.4,-3.3,3.5
"			2013-01",175,-1.1,-4,3
"			2013-02",175,0.2,-3.4,4.9
"			2013-03",175,5.2,0.6,12
"			2013-04",175,8.2,3.8,14.4
"			2013-05",175,15.8,11.6,21.7
"			2013-06",175,19.5,16.7,24.2
"			2013-07",175,23.3,21.8,25.9
"			2013-08",175,25.1,22.4,29.8
"			2013-09",175,19.8,17,24.6
"			2013-10",175,14.7,11.4,20.1
"			2013-11",175,7.2,4.1,12.3
"			2013-12",175,1.8,-1,5.7
"			2014-01",175,1,-2.8,5.5
"			2014-02",175,1.4,-1.7,6.2
"			2014-03",175,5.9,2.4,11.1
"			2014-04",175,11.7,8.1,17.7
"			2014-05",175,15.9,11.7,21.4
"			2014-06",175,18.8,16.2,23.7
