기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 진도군,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2014-06",268,21.1,17.8,25
"			2014-07",268,24.2,21.6,27.6
"			2014-08",268,23.8,21.4,27
"			2014-09",268,21.4,17.1,26
"			2014-10",268,16.3,10.8,21.5
"			2014-11",268,11,6.4,15.2
"			2014-12",268,3.2,-0.6,6.8
"			2015-01",268,3.2,-0.6,7
"			2015-02",268,3.8,-0.1,7.2
"			2015-03",268,7.1,1.6,12.4
"			2015-04",268,12.3,7.4,17.6
"			2015-05",268,17.2,12.1,22.8
"			2015-06",268,20.6,17.2,24.8
"			2015-07",268,24.1,20.8,27.9
"			2015-08",268,24.8,21.5,28.7
"			2015-09",268,20.8,16.3,25.7
"			2015-10",268,16.2,10.9,21.6
"			2015-11",268,12.1,8.6,15.8
"			2015-12",268,6.7,2.6,9.9
"			2016-01",268,2.3,-0.6,5.3
"			2016-02",268,3.9,-0.4,7.8
"			2016-03",268,7.4,2.2,12.1
"			2016-04",268,13.3,8.2,18.9
"			2016-05",268,17.5,12.3,22.7
"			2016-06",268,21.4,18,25.1
"			2016-07",268,25.6,22.9,28.9
"			2016-08",268,26.7,22.9,31.6
"			2016-09",268,22.3,18.4,26.5
"			2016-10",268,17.6,14.3,21
"			2016-11",268,10.1,5.7,14.4
"			2016-12",268,5.8,1.4,10
"			2017-01",268,3.2,-0.7,7.2
"			2017-02",268,3.2,-1.6,7.8
"			2017-03",268,6.3,1,11.7
"			2017-04",268,13.3,7.4,19.1
"			2017-05",268,17.4,11.1,23.8
"			2017-06",268,21,16.5,25.9
"			2017-07",268,26.8,24,29.9
"			2017-08",268,26.5,23.1,30.5
"			2017-09",268,21.6,17.4,26.1
"			2017-10",268,16.6,12.5,20.6
"			2017-11",268,9.1,3.5,13.9
"			2017-12",268,3.1,-1,7.3
"			2018-01",268,0.9,-2.7,4.3
"			2018-02",268,1.9,-2.5,5.9
"			2018-03",268,8.4,3,13.7
"			2018-04",268,13.5,7.9,18.8
"			2018-05",268,17.7,13.1,22.2
"			2018-06",268,21.4,17.6,26
"			2018-07",268,26.8,23.4,31.1
"			2018-08",268,27.7,24.4,31.6
"			2018-09",268,21.6,17.8,25.7
"			2018-10",268,14.9,10,19.4
"			2018-11",268,9.8,4.5,15.2
"			2018-12",268,4.5,0.6,7.9
"			2019-01",268,3,-0.8,6.4
"			2019-02",268,3.8,-0.1,7.7
"			2019-03",268,7.8,2.7,12.9
"			2019-04",268,12,6.6,17
"			2019-05",268,17.1,11.2,23.2
"			2019-06",268,20.4,16.2,25.1
"			2019-07",268,24.1,21.5,27.3
"			2019-08",268,25.9,22.3,30
"			2019-09",268,22.3,18.9,26.4
"			2019-10",268,16.8,12.5,21.4
"			2019-11",268,11.4,6.2,16.3
"			2019-12",268,5.4,0.7,9.7
"			2020-01",268,5.3,1.9,8.5
"			2020-02",268,5.4,0.7,9.7
"			2020-03",268,8.3,3,13.3
"			2020-04",268,10.5,5.1,15.5
"			2020-05",268,17,12.7,21.5
"			2020-06",268,21.8,17.9,26.3
"			2020-07",268,22.8,20.4,25.7
"			2020-08",268,27.4,24.8,30.9
"			2020-09",268,21.4,17.6,25.7
"			2020-10",268,15.6,11.1,20.4
"			2020-11",268,11.4,6.7,15.6
"			2020-12",268,3.5,-1.3,8.4
"			2021-01",268,2.7,-2.2,7.4
"			2021-02",268,5.6,0.5,10.6
"			2021-03",268,9.6,4.8,14.7
"			2021-04",268,13.7,8.4,18.7
"			2021-05",268,17.4,11.9,22.4
"			2021-06",268,,,
"			2021-07",268,26.2,22.8,29.8
"			2021-08",268,25.7,22.4,29.6
"			2021-09",268,22.7,19.3,26.5
"			2021-10",268,16.9,12.1,21.9
"			2021-11",268,10.1,4.9,15.9
"			2021-12",268,4.4,-0.5,9.5
"			2022-01",268,1.9,-1.5,5.8
"			2022-02",268,2,-2.5,6.4
"			2022-03",268,8.4,3.3,13.6
"			2022-04",268,13.4,8.1,19.1
"			2022-05",268,16.8,11.1,22.9
"			2022-06",268,22,19,25.7
"			2022-07",268,26.1,22.7,29.8
"			2022-08",268,26.3,23.4,29.7
"			2022-09",268,21.9,18.2,26.2
"			2022-10",268,15.3,10.6,20.4
"			2022-11",268,11.2,5.4,17.4
"			2022-12",268,2.3,-2,6.8
"			2023-01",268,2.2,-2.8,7.2
"			2023-02",268,3.5,-0.9,8.3
"			2023-03",268,9,3.2,15.3
"			2023-04",268,12.8,7,17.9
"			2023-05",268,17.4,13.1,22.1
"			2023-06",268,21.6,18,25.8
"			2023-07",268,25.7,23.1,28.7
"			2023-08",268,26.7,22.8,31.5
"			2023-09",268,23.5,19.6,28
"			2023-10",268,16.3,11.3,21.8
"			2023-11",268,10.7,6,15.1
"			2023-12",268,5.6,1.3,9.9
"			2024-01",268,3.5,-0.7,7.6
"			2024-02",268,6.2,2.5,10
"			2024-03",268,7.8,3.1,12.7
"			2024-04",268,14.3,9.3,19.7
"			2024-05",268,17.3,12.4,22.6
"			2024-06",268,21.6,17.4,26.4
"			2024-07",268,26.4,24,29.2
"			2024-08",268,28,24.4,32.7
"			2024-09",268,25.9,22,30.8
"			2024-10",268,17.7,13.7,22.4
"			2024-11",268,12,7.7,16.6
"			2024-12",268,5,0.7,9
"			2025-01",268,2.2,-2.3,7.2
"			2025-02",268,1.8,-2.2,5.9
"			2025-03",268,,,
"			",,,,
