기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 세종,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2019-06",239,21.7,16.9,27.3
"			2019-07",239,25.2,21.7,29.4
"			2019-08",239,26.2,22.3,31.3
"			2019-09",239,21.8,18.1,26.5
"			2019-10",239,15.6,10.9,21.1
"			2019-11",239,8.1,2.7,14.4
"			2019-12",239,2,-2.2,6.9
"			2020-01",239,2.1,-1.7,7.1
"			2020-02",239,2.9,-1.9,8.3
"			2020-03",239,7.8,1.7,14.3
"			2020-04",239,10.8,4.3,17.9
"			2020-05",239,18.2,13,24
"			2020-06",239,23.2,18.9,28.5
"			2020-07",239,23.2,20.1,27.1
"			2020-08",239,26.8,23.9,31
"			2020-09",239,20.5,16.8,25.4
"			2020-10",239,13.4,8.2,19.8
"			2020-11",239,8,3.3,13.4
"			2020-12",239,-0.1,-4.3,5
"			2021-01",239,-1.7,-6.6,3.3
"			2021-02",239,3.2,-2.2,9
"			2021-03",239,8.8,3.2,15.1
"			2021-04",239,13.9,8.1,20.1
"			2021-05",239,16.8,11.7,22.4
"			2021-06",239,22.6,18.2,27.8
"			2021-07",239,26.9,23,31.7
"			2021-08",239,25.1,21.8,29.5
"			2021-09",239,21.8,18.2,26.4
"			2021-10",239,15,10.3,21
"			2021-11",239,8.2,3.3,14.3
"			2021-12",239,1.2,-3.4,6.4
"			2022-01",239,-1.4,-6.6,4.2
"			2022-02",239,-0.4,-5.6,5.2
"			2022-03",239,7.7,1.9,13.9
"			2022-04",239,14.2,7.7,21.6
"			2022-05",239,18.4,11.7,25.3
"			2022-06",239,23.3,19,28.7
"			2022-07",239,26.4,22.9,30.9
"			2022-08",239,25.3,22.3,29.2
"			2022-09",239,21.8,17.3,27.2
"			2022-10",239,13.9,9,20
"			2022-11",239,9.4,3.9,16.1
"			2022-12",239,-2.4,-6.7,2.6
"			2023-01",239,-1.2,-6.1,4.4
"			2023-02",239,2,-3.2,8.1
"			2023-03",239,9.6,2.6,17.1
"			2023-04",239,13.3,7.3,19.4
"			2023-05",239,18.5,12.8,24.4
"			2023-06",239,23.1,18.3,28.5
"			2023-07",239,25.6,22.7,29.9
"			2023-08",239,26.7,23.1,31.6
"			2023-09",239,22.7,19.2,27.4
"			2023-10",239,14.8,9.9,21.2
"			2023-11",239,7.6,2.8,13
"			2023-12",239,2.3,-1.6,6.7
"			2024-01",239,0.1,-3.8,4.8
"			2024-02",239,4,-0.1,8.7
"			2024-03",239,7,1.6,12.8
"			2024-04",239,15.8,10.1,22.1
"			2024-05",239,17.9,12.1,24.4
"			2024-06",239,23.3,17.6,29.4
"			2024-07",239,26.2,23.4,29.9
"			2024-08",239,28.1,24.4,33.1
"			2024-09",239,25.2,21.6,30.4
"			2024-10",239,15.7,11.9,20.7
"			2024-11",239,9.5,4.7,15.7
"			2024-12",239,1.3,-2.7,5.9
"			2025-01",239,-0.3,-4.7,4.8
"			2025-02",239,-0.9,-5.7,4.6
"			2025-03",239,,,
"			",,,,
