ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
"202412","땅땅치킨 외도점","제주시","외도동","제주시내","패스트푸드","치킨","0.02000","0.06000","0.00000","0.00000","0.00000","0.01000","-0.01000","104.00000","다다00b00a"
"202412","호임당","제주시","외도동","제주시내","한식","백반/가정식","0.05000","0.43000","0.01000","0.10000","0.02000","0.19000","-0.19000","3940.00000","다다00b00b"
"202412","탐나삼계탕","제주시","외도동","제주시내","한식","삼계탕","0.05000","0.12000","0.00000","0.01000","0.01000","0.04000","-0.04000","1114.00000","다다01a00b"
"202412","오도롱국수","제주시","이호동","제주시내","한식","면류","0.11000","0.45000","0.01000","0.07000","0.03000","0.18000","-0.18000","3788.00000","다다03a00b"
"202412","빵귿","제주시","이도2동","제주시내","간식","베이커리","4.14000","25.48000","0.42000","3.40000","1.27000","9.18000","-9.18000","9760.00000","다나10a99b"
"202412","맛있는이가국수집","제주시","외도동","제주시내","한식","면류","0.46000","2.32000","0.01000","0.04000","0.11000","0.60000","-0.60000","6993.00000","다나00b99b"
"202412","롯데리아제주외도디티점","제주시","외도동","제주시내","패스트푸드","햄버거","1.82000","13.16000","0.12000","1.27000","0.50000","4.30000","-4.30000","9530.00000","다다00b00b"
"202412","대포어촌횟집","서귀포시","중문동","서귀포시내","한식","회","0.00000","0.00000","0.03000","0.04000","0.03000","0.04000","-0.04000","1115.00000","다나00a72a"
"202412","컴포즈커피제주외도부영점","제주시","외도동","제주시내","음료","커피","0.14000","4.50000","0.00000","0.10000","0.03000","1.17000","-1.17000","8398.00000","다다00b00a"
"202412","바글바글해장국몸국","제주시","외도동","제주시내","한식","해장국","0.40000","1.19000","0.01000","0.04000","0.10000","0.32000","-0.32000","5396.00000","다다00b00a"
"202412","제주모다정","제주시","노형동","제주시내","한식","가정식","0.36000","1.69000","0.33000","1.51000","0.36000","1.77000","-1.77000","8940.00000","다나05a99b"
"202412","멕시카나 아이브리조트점","서귀포시","대천동","서귀포시내","패스트푸드","치킨","0.00000","0.00000","0.13000","0.10000","0.11000","0.09000","-0.09000","2360.00000","다나06b77b"
