번호,야영장명,사업주체_구분,도,시군구,주소,연락처 앞자리,연락처 중간자리,연락처 끝자리,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입
1,(주)디노담양힐링파크 지점,민간,전라남도,담양군,전남 담양군 봉산면 탄금길 9-26,61,383,5155,2,0,22,2,0,0,4,6,0,6,7,0,13,11,0,2016-10-27,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설,마트_편의점","운동장,강/물놀이,농어촌체험시설",20,2,1,24,"낚시,여름물놀이",,불가능
2,(주)아웃오브파크,민간,강원도,춘천시,강원도 춘천시 남면 가옹개길 52-9,1522,1861,,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,2017-09-18,개별,운동시설,수영장,0,0,0,0,,,불가능
3,(주)양촌여울체험캠프,민간,경상남도,창원시,경상남도 창원시 마산합포구 진전면 의산삼일로 60,55,271,2012,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-12-19,개별,"전기,온수,물놀이장,산책로,마트_편의점","산책로,농어촌체험시설",0,0,0,0,,,가능(소형견)
4,(주)어반슬로우시티,민간,강원도,춘천시,강원도 춘천시 남면 가옹개길 108 ,1899,9349,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-08-04,개별,,,0,0,0,0,,,불가능
5,이스케이프 지점 (휴토피아),민간,강원도,홍천군,강원도 홍천군 서면 팔봉산로 976,1599,7130,,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2016-04-29,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트_편의점","낚시,강/물놀이",17,0,0,17,가을단풍명소,,불가능
6,드림랜드오토캠핑장,민간,경상북도,영천시,경북 영천시 고경면 고도길 38,,,,135,135,17,0,0,0,7,0,0,7,0,0,110,0,0,2010-01-11,공동취사장,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","산책로,강/물놀이,청소년체험시설",15,0,0,10,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","텐트,릴선,화로대,난방기구,식기",가능
7,제주 자연인 글램핑,민간,제주특별자치도,제주시,제주특별자치도 제주시 아란서길 110-0 ,,,,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,2016-08-26,,운동시설,,0,0,0,0,,,불가능
8,(주)태평소금 천일염 힐링캠프,민간,전라남도,신안군,전라남도 신안군 증도면 지도증도로 1053-11 ,61,275,1596,9,0,0,10,0,0,6,0,0,6,0,0,9,0,0,2016-05-11,개별,"전기,장작판매,온수,물놀이장,놀이터,마트_편의점","산책로,낚시,해수욕,청소년체험시설",20,0,0,10,"일출명소,일몰명소,낚시,걷기길",화로대,불가능
9,505펜션&캠핑(오공오),민간,충청남도,공주시,충남 공주시 사곡면 호계황골길 43,,,,22,0,0,0,0,0,6,0,0,7,0,0,0,0,0,2015-05-20,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,낚시",40,0,0,0,"액티비티,여름물놀이","릴선,난방기구",불가능
10,80 SS 오토캠핑장,민간,대구광역시,군위군,경북 군위군 부계면 남산리 1138-4번지,54,382,7,14,10,7,0,0,0,4,0,0,6,0,0,24,0,0,2016-08-05,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",산책로,40,0,0,7,여름물놀이,"릴선,화로대,난방기구,식기",불가능
11,A&J오토캠핑장,민간,강원도,원주시,강원도 원주시 지정면 안창리 산 56-3,33,733,7770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-18,,전기,,0,0,0,0,,,불가능
12,Camp 1950,민간,경상북도,김천시,경북 김천시 대덕면 남김천대로 160,55,942,5006,9,0,11,0,0,0,3,0,0,6,0,0,9,0,0,2017-04-27,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트_편의점","계곡 물놀이,산책로,어린이놀이시설",22,1,1,18,여름물놀이,"텐트,릴선,화로대,난방기구,식기,침낭",불가능
13,CLUB 596,민간,충청남도,태안군,충남 태안군 남면 몽산리 596,,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2017-08-01,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로","산책로,수상레저,낚시,해수욕",8,0,0,6,"일몰명소,여름물놀이,걷기길",,불가능
14,DMZ 마루캠핑,민간,경기도,연천군,경기도 연천군 중면 군중로 399,,,,30,0,0,0,0,0,9,0,0,9,0,0,30,0,0,2017-09-28,,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,낚시,청소년체험시설",20,0,0,0,,,불가능
15,DMZ 캠핑장,민간,강원도,철원군,강원도 철원군 철원읍 독서당길 225-134 ,,,,13,0,0,0,0,0,4,0,0,4,0,0,0,0,0,2016-06-09,개별,"전기,무선인터넷,장작판매",계곡 물놀이,7,0,0,0,,,불가능
16,F1 오토캠핑장,지자체,전라남도,영암군,전라남도 영암군 삼호읍 삼포리 1894,70,4227,7788,0,40,0,6,0,0,0,0,0,0,0,0,0,0,0,2012-11-27,개별,"온수,운동장",,0,0,0,0,,,불가능
17,JB 캠핑하우스,민간,경기도,파주시,경기 파주시 적성면 감악산로 1270-74,31,958,9919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-09,개별,,,0,0,0,0,,,불가능
18,Najost Camp,민간,강원도,영월군,강원 영월군 김삿갓면 김삿갓로 638,33,375,3215,0,20,0,0,0,0,12,0,0,9,0,0,20,0,0,2015-10-07,개별,"전기,무선인터넷,장작판매,온수",계곡 물놀이,20,0,0,0,"여름물놀이,가을단풍명소","릴선,화로대",불가능
19,THATS CAMPING 횡성자연휴양림야영장,민간,강원도,횡성군,강원도 횡성군 갑천면정포로430번길 113 ,33,344,3391,0,60,5,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-29,개별,"전기,장작판매,온수,물놀이장,놀이터,운동장,운동시설,마트_편의점","산책로,강/물놀이",0,0,0,0,"가을단풍명소,걷기길",,불가능
